"","name","contribution","contribution.scaled","group","contribution.relative.1"
"JAM1","JAM",0.0105364321318647,0.21963944293698,"Lung",Inf
"NT1","NT",0.00520985230307129,0.190215187255636,"Lung",Inf
"TRAIL1","TRAIL",0.00407556668444162,0.181727467487839,"Lung",Inf
"PVR1","PVR",0.00286355811664741,0.170774057972767,"Lung",Inf
"SLIT1","SLIT",1.45402535214134,152.691884817418,"Lung",26.02
"TENASCIN1","TENASCIN",0.0299481694816622,0.285039387740797,"Lung",6.54
"ncWNT1","ncWNT",0.0394428695632115,0.30931961494411,"Lung",3.34
"PTPR1","PTPR",0.101491252574682,0.437104457068099,"Lung",2.84
"ADGRE1","ADGRE",0.613426825575889,2.04626902519891,"Lung",2.18
"IGF1","IGF",0.311542512292404,0.857471532835611,"Lung",1.69
"COLLAGEN1","COLLAGEN",30.5137938528744,190.864856021772,"Lung",1.25
"NOTCH1","NOTCH",0.0176448775044823,0.247689689032946,"Lung",1.14
"MPZ1","MPZ",0.266889591338422,0.757047990923322,"Lung",1.11
"LAMININ1","LAMININ",21.8459977736421,182.381973531915,"Lung",1.03
"BMP1","BMP",0.347019769769361,0.944846005917573,"Lung",1
"EPHB1","EPHB",0.43634166764188,1.20579306230842,"Lung",1
"FN11","FN1",5.18866254808389,169.657649797131,"Lung",1
"CEACAM1","CEACAM",0.90481984106698,9.99805780292394,"Lung",0.91
"SIRP1","SIRP",0.0252387238261931,0.271785230220965,"Lung",0.83
"DHEA1","DHEA",0.271483196960668,0.766956430042592,"Lung",0.79
"PARs1","PARs",1.54799227536661,156.933326062346,"Lung",0.79
"PERIOSTIN1","PERIOSTIN",0.0564283168365465,0.347852200081568,"Lung",0.78
"EPHA1","EPHA",0.618568085759457,2.08182396264676,"Lung",0.67
"CDH11","CDH1",0.396841734329872,1.08199612010039,"Lung",0.66
"SEMA61","SEMA6",0.0497985895946684,0.333359044566962,"Lung",0.56
"CDH2","CDH",0.671026520185864,2.50660101210351,"Lung",0.56
"SPP11","SPP1",0.11931371651753,0.470367111512208,"Lung",0.54
"NRXN1","NRXN",0.101726879514092,0.4375479672379,"Lung",0.45
"CD991","CD99",0.106023106207281,0.445613292956702,"Lung",0.42
"APP1","APP",0.94009934276178,16.1891604939697,"Lung",0.42
"RELN1","RELN",0.0273806043358524,0.277938334477115,"Lung",0.41
"CD61","CD6",0.158793236679752,0.543433273675165,"Lung",0.41
"EGF1","EGF",0.266759060451744,0.756767722682485,"Lung",0.39
"THBS1","THBS",0.393074182842087,1.07094252663355,"Lung",0.37
"HGF1","HGF",0.096956986905086,0.428543052998541,"Lung",0.26
"ADGRG1","ADGRG",0.079186357833842,0.394329347672108,"Lung",0.21
"CLDN1","CLDN",0.0161751311581747,0.24246654446419,"Lung",0.14
"Glutamate1","Glutamate",0.0234261058492134,0.266389320299376,"Lung",0.07
"NRG1","NRG",0.0429104121343296,0.317597360680835,"Lung",0.06
"LIGHT1","LIGHT",0,0,"Lung",0
"ApoA1","ApoA",0,0,"Lung",0
"CypA1","CypA",0,0,"Lung",0
"TGFb1","TGFb",0,0,"Lung",0
"VTN1","VTN",0,0,"Lung",0
"OCLN1","OCLN",0,0,"Lung",0
"ACTIVIN1","ACTIVIN",0,0,"Lung",0
"DHEAS1","DHEAS",0,0,"Lung",0
"SEMA41","SEMA4",0,0,"Lung",0
"CD461","CD46",0,0,"Lung",0
