,cell_id,banksy_leiden_0.7
aaeikpbm-1,aaeikpbm-1,1
aaeinfcf-1,aaeinfcf-1,1
aaejagbk-1,aaejagbk-1,3
aaejfnbh-1,aaejfnbh-1,4
aaejolel-1,aaejolel-1,1
aaekdjpl-1,aaekdjpl-1,1
aaeknoml-1,aaeknoml-1,3
aaekombc-1,aaekombc-1,1
aaelcebb-1,aaelcebb-1,1
aaelhfkn-1,aaelhfkn-1,1
aaelhiem-1,aaelhiem-1,1
aaelipke-1,aaelipke-1,1
aaembeje-1,aaembeje-1,1
aaemcjge-1,aaemcjge-1,1
aaemloec-1,aaemloec-1,1
aaenefog-1,aaenefog-1,4
aaenidgc-1,aaenidgc-1,1
aaenmejj-1,aaenmejj-1,1
aaenmnkp-1,aaenmnkp-1,1
aaeoneef-1,aaeoneef-1,1
aaepbanh-1,aaepbanh-1,1
aaepolhm-1,aaepolhm-1,1
aaepolpb-1,aaepolpb-1,1
aafadlhd-1,aafadlhd-1,1
aafakjgc-1,aafakjgc-1,1
aafbhefm-1,aafbhefm-1,1
aafbohni-1,aafbohni-1,1
aafchgfe-1,aafchgfe-1,1
aafchiib-1,aafchiib-1,1
aafcjdka-1,aafcjdka-1,1
aafcllbc-1,aafcllbc-1,1
aafdlefi-1,aafdlefi-1,1
aafdphga-1,aafdphga-1,1
aaffbkig-1,aaffbkig-1,1
aaffcpdb-1,aaffcpdb-1,7
aafgabfh-1,aafgabfh-1,7
aafgknkl-1,aafgknkl-1,3
aafhikim-1,aafhikim-1,15
aafhjpio-1,aafhjpio-1,4
aafjbcpe-1,aafjbcpe-1,3
aafjhedn-1,aafjhedn-1,3
aafjhffa-1,aafjhffa-1,3
aafjniba-1,aafjniba-1,4
aafjojol-1,aafjojol-1,4
aafkdmnk-1,aafkdmnk-1,21
aafkgikh-1,aafkgikh-1,21
aaflefeb-1,aaflefeb-1,3
aaflofoa-1,aaflofoa-1,21
aafmejag-1,aafmejag-1,21
aafmlfjk-1,aafmlfjk-1,21
aafnimgk-1,aafnimgk-1,21
aafnmbeg-1,aafnmbeg-1,7
aafnoojm-1,aafnoojm-1,4
aafnpljj-1,aafnpljj-1,21
aafoglii-1,aafoglii-1,21
aafohngb-1,aafohngb-1,21
aafondap-1,aafondap-1,21
aafpgang-1,aafpgang-1,21
aafpleol-1,aafpleol-1,21
aafppdgd-1,aafppdgd-1,21
aagagbef-1,aagagbef-1,21
aagbpcjf-1,aagbpcjf-1,3
aagdeonn-1,aagdeonn-1,15
aagdjgko-1,aagdjgko-1,3
aagdlmjo-1,aagdlmjo-1,3
aagedjgl-1,aagedjgl-1,4
aagelkko-1,aagelkko-1,4
aagenoco-1,aagenoco-1,7
aagfeaed-1,aagfeaed-1,4
aagfipaf-1,aagfipaf-1,7
aaggpodk-1,aaggpodk-1,7
aaghebjm-1,aaghebjm-1,21
aaghichp-1,aaghichp-1,21
aaghmolg-1,aaghmolg-1,21
aagighip-1,aagighip-1,21
aagjfban-1,aagjfban-1,21
aagjogff-1,aagjogff-1,21
aagkpcha-1,aagkpcha-1,21
aaglbhoc-1,aaglbhoc-1,21
aagmlbhh-1,aagmlbhh-1,21
aagofjbk-1,aagofjbk-1,21
aagoggjh-1,aagoggjh-1,21
aagogpjo-1,aagogpjo-1,21
aagpggif-1,aagpggif-1,21
aagpnbib-1,aagpnbib-1,21
aahacboi-1,aahacboi-1,21
aahaiijb-1,aahaiijb-1,21
aahanbeg-1,aahanbeg-1,21
aahaoejf-1,aahaoejf-1,21
aahaomfe-1,aahaomfe-1,21
aahbbdoo-1,aahbbdoo-1,21
aahbbhld-1,aahbbhld-1,21
aahbdllj-1,aahbdllj-1,21
aahbfcop-1,aahbfcop-1,21
aahbgcoj-1,aahbgcoj-1,21
aahcebkk-1,aahcebkk-1,21
aahcflmo-1,aahcflmo-1,21
aahdceld-1,aahdceld-1,21
aahdghjc-1,aahdghjc-1,21
aahdnanl-1,aahdnanl-1,21
aahedjip-1,aahedjip-1,1
aahemjig-1,aahemjig-1,1
aaheoaei-1,aaheoaei-1,1
aahfiiko-1,aahfiiko-1,1
aahfklfg-1,aahfklfg-1,1
aahfpbjk-1,aahfpbjk-1,1
aahgaedi-1,aahgaedi-1,1
aahgnhde-1,aahgnhde-1,1
aahhdjnf-1,aahhdjnf-1,1
aahickan-1,aahickan-1,4
aahiecln-1,aahiecln-1,4
aahjedmi-1,aahjedmi-1,1
aahkgegh-1,aahkgegh-1,1
aahkgmoc-1,aahkgmoc-1,1
aahklghm-1,aahklghm-1,1
aahlgbmi-1,aahlgbmi-1,1
aahlknoc-1,aahlknoc-1,1
aahlngkn-1,aahlngkn-1,1
aahlnnoo-1,aahlnnoo-1,1
aahmccad-1,aahmccad-1,4
aahnpfjm-1,aahnpfjm-1,3
aahodjda-1,aahodjda-1,3
aahpapdc-1,aahpapdc-1,3
aahpdnda-1,aahpdnda-1,1
aahpeolk-1,aahpeolk-1,4
aaialejl-1,aaialejl-1,1
aaibebek-1,aaibebek-1,1
aaibelhd-1,aaibelhd-1,1
aaicmdid-1,aaicmdid-1,1
aaidhkin-1,aaidhkin-1,1
aaidlhpj-1,aaidlhpj-1,1
aaidpiec-1,aaidpiec-1,1
aaiebkpc-1,aaiebkpc-1,1
aaiebmnf-1,aaiebmnf-1,1
aaieeaoo-1,aaieeaoo-1,1
aaiegiii-1,aaiegiii-1,1
aaieomai-1,aaieomai-1,1
aaigkahf-1,aaigkahf-1,1
aaigkgnj-1,aaigkgnj-1,1
aaigmpig-1,aaigmpig-1,1
aaihgell-1,aaihgell-1,1
aaihokeb-1,aaihokeb-1,1
aaiihknm-1,aaiihknm-1,1
aaiimjcp-1,aaiimjcp-1,1
aaijcejb-1,aaijcejb-1,1
aaijddda-1,aaijddda-1,1
aaijenpe-1,aaijenpe-1,4
aaikfobd-1,aaikfobd-1,1
aaillohm-1,aaillohm-1,1
aainaech-1,aainaech-1,4
aainjjof-1,aainjjof-1,1
aaioaifc-1,aaioaifc-1,1
aaipaioe-1,aaipaioe-1,1
aajbipbo-1,aajbipbo-1,1
aajcjboj-1,aajcjboj-1,1
aajcnjde-1,aajcnjde-1,1
aajcoodg-1,aajcoodg-1,1
aajdgfek-1,aajdgfek-1,1
aajdjgmm-1,aajdjgmm-1,1
aajdkbda-1,aajdkbda-1,1
aajdliok-1,aajdliok-1,1
aajeajnb-1,aajeajnb-1,1
aajedghn-1,aajedghn-1,1
aajekahp-1,aajekahp-1,1
