,cell_id,banksy_leiden_0.7
acogecjb-1,acogecjb-1,NA
acoggkba-1,acoggkba-1,NA
acoglndh-1,acoglndh-1,NA
acohcahn-1,acohcahn-1,NA
acohcnol-1,acohcnol-1,NA
acohcpkf-1,acohcpkf-1,NA
acohgpmf-1,acohgpmf-1,NA
acohldha-1,acohldha-1,NA
acohlipd-1,acohlipd-1,NA
acohojnh-1,acohojnh-1,NA
acoiafij-1,acoiafij-1,NA
acoiajic-1,acoiajic-1,NA
acoiflak-1,acoiflak-1,NA
acoigoom-1,acoigoom-1,NA
acoijdpm-1,acoijdpm-1,NA
acoikldj-1,acoikldj-1,NA
acoipajl-1,acoipajl-1,NA
acojcbim-1,acojcbim-1,NA
acojgego-1,acojgego-1,NA
acojhhce-1,acojhhce-1,NA
acojlcbk-1,acojlcbk-1,NA
acojmack-1,acojmack-1,NA
acokbafo-1,acokbafo-1,NA
acokchmn-1,acokchmn-1,NA
acokdgbi-1,acokdgbi-1,NA
acokeijf-1,acokeijf-1,NA
acokkgim-1,acokkgim-1,NA
acoklppl-1,acoklppl-1,NA
acokmani-1,acokmani-1,NA
acoknfjo-1,acoknfjo-1,NA
acolaebc-1,acolaebc-1,NA
acolckil-1,acolckil-1,NA
acolfdcj-1,acolfdcj-1,NA
acolfofo-1,acolfofo-1,NA
acolhfea-1,acolhfea-1,NA
acoljfom-1,acoljfom-1,NA
acolkfck-1,acolkfck-1,NA
acolmbpl-1,acolmbpl-1,NA
acolmgib-1,acolmgib-1,NA
acolmkgo-1,acolmkgo-1,NA
acolnhlb-1,acolnhlb-1,NA
acomagco-1,acomagco-1,NA
acomahao-1,acomahao-1,NA
acombhng-1,acombhng-1,NA
acomdlkp-1,acomdlkp-1,NA
acomencn-1,acomencn-1,NA
acomlaop-1,acomlaop-1,NA
aconbhcc-1,aconbhcc-1,NA
aconbmdc-1,aconbmdc-1,NA
aconfncl-1,aconfncl-1,NA
aconlhgm-1,aconlhgm-1,NA
aconnfef-1,aconnfef-1,NA
acooagkd-1,acooagkd-1,NA
acoocbhk-1,acoocbhk-1,NA
acoodfof-1,acoodfof-1,NA
acoodphk-1,acoodphk-1,NA
acooflll-1,acooflll-1,NA
acoogajd-1,acoogajd-1,NA
acookfkg-1,acookfkg-1,NA
acoomnca-1,acoomnca-1,NA
acoopcfa-1,acoopcfa-1,NA
acopabgf-1,acopabgf-1,NA
acopaodh-1,acopaodh-1,NA
acopegkl-1,acopegkl-1,NA
acopfihj-1,acopfihj-1,NA
acoppmbb-1,acoppmbb-1,NA
acpapmml-1,acpapmml-1,NA
acpbbill-1,acpbbill-1,NA
acpbcibi-1,acpbcibi-1,NA
acpbclik-1,acpbclik-1,NA
acpbdmch-1,acpbdmch-1,NA
acpbepao-1,acpbepao-1,NA
acpbfcap-1,acpbfcap-1,NA
acpbkmnl-1,acpbkmnl-1,NA
acpcagnn-1,acpcagnn-1,NA
acpcmdjc-1,acpcmdjc-1,NA
acpcpcaf-1,acpcpcaf-1,NA
acpdeidl-1,acpdeidl-1,NA
acpdggga-1,acpdggga-1,NA
acpdkfkl-1,acpdkfkl-1,NA
acpdmbaj-1,acpdmbaj-1,NA
acpdnhjg-1,acpdnhjg-1,NA
acpefdek-1,acpefdek-1,NA
acpegheo-1,acpegheo-1,NA
acpegjmk-1,acpegjmk-1,NA
acpeigjf-1,acpeigjf-1,NA
acpekaom-1,acpekaom-1,NA
acpekllb-1,acpekllb-1,NA
acpennjb-1,acpennjb-1,NA
acpfafde-1,acpfafde-1,NA
acpfdajn-1,acpfdajn-1,NA
acpfljff-1,acpfljff-1,NA
acpfnbao-1,acpfnbao-1,NA
acpgckhp-1,acpgckhp-1,NA
acpgdnnl-1,acpgdnnl-1,NA
acpgffhn-1,acpgffhn-1,NA
acpggmmo-1,acpggmmo-1,NA
acpgiekb-1,acpgiekb-1,NA
acpgjlpb-1,acpgjlpb-1,NA
