,cell_id,banksy_leiden_0.7
aadlgbdi-1,aadlgbdi-1,5
aadliklf-1,aadliklf-1,5
aadlinck-1,aadlinck-1,5
aadlkaja-1,aadlkaja-1,5
aadmnkhg-1,aadmnkhg-1,6
aadoajhn-1,aadoajhn-1,5
aadoccjl-1,aadoccjl-1,6
aadoenci-1,aadoenci-1,6
aadoihal-1,aadoihal-1,6
aadojaoj-1,aadojaoj-1,6
aadojgdl-1,aadojgdl-1,2
aadojogn-1,aadojogn-1,2
aadpfhoc-1,aadpfhoc-1,2
aadphllf-1,aadphllf-1,11
aadpiajo-1,aadpiajo-1,11
aadpjbhi-1,aadpjbhi-1,11
aadpocpl-1,aadpocpl-1,2
aaeaihem-1,aaeaihem-1,11
aaecacgd-1,aaecacgd-1,11
aaecagdm-1,aaecagdm-1,11
aaecakni-1,aaecakni-1,2
aaecpofn-1,aaecpofn-1,11
aaedgpcp-1,aaedgpcp-1,2
aaedilia-1,aaedilia-1,11
aaedjlpa-1,aaedjlpa-1,11
aaednjah-1,aaednjah-1,11
aaeenjma-1,aaeenjma-1,11
aaeepbko-1,aaeepbko-1,2
aaegkdpc-1,aaegkdpc-1,2
aaegnkng-1,aaegnkng-1,11
aaehckbg-1,aaehckbg-1,2
aaeicdhp-1,aaeicdhp-1,12
aaeimdbe-1,aaeimdbe-1,4
aaejakmc-1,aaejakmc-1,12
aaejalch-1,aaejalch-1,0
aaekfmgp-1,aaekfmgp-1,2
aaekmoac-1,aaekmoac-1,0
aaemgohb-1,aaemgohb-1,2
aaemlfhp-1,aaemlfhp-1,11
aaemmahp-1,aaemmahp-1,12
aaempelp-1,aaempelp-1,11
aaencmdm-1,aaencmdm-1,12
aaeobdje-1,aaeobdje-1,0
aaeokphp-1,aaeokphp-1,2
aaepoepo-1,aaepoepo-1,2
aafagbfk-1,aafagbfk-1,0
aafaiekn-1,aafaiekn-1,11
aafajmjc-1,aafajmjc-1,11
aafamkkn-1,aafamkkn-1,11
aafanmlp-1,aafanmlp-1,2
aafanpaf-1,aafanpaf-1,0
aafbegjm-1,aafbegjm-1,2
aafbeikd-1,aafbeikd-1,2
aafbepop-1,aafbepop-1,2
aafbimfb-1,aafbimfb-1,2
aafcajcd-1,aafcajcd-1,2
aafcbolg-1,aafcbolg-1,0
aafchbnd-1,aafchbnd-1,2
aafdbafg-1,aafdbafg-1,2
aafdihni-1,aafdihni-1,2
aafdjheh-1,aafdjheh-1,0
aafdkopc-1,aafdkopc-1,0
aaffmaco-1,aaffmaco-1,2
aaffmele-1,aaffmele-1,2
aaffmmam-1,aaffmmam-1,2
aafgbckh-1,aafgbckh-1,11
aafghnni-1,aafghnni-1,11
aafhapdg-1,aafhapdg-1,11
aafhnoic-1,aafhnoic-1,11
aaficpma-1,aaficpma-1,11
aafigaia-1,aafigaia-1,0
aafjepcb-1,aafjepcb-1,11
aafjoajc-1,aafjoajc-1,0
aafkciil-1,aafkciil-1,11
aafkfiem-1,aafkfiem-1,2
