,cell_id,banksy_leiden_0.7
aahicjbm-1,aahicjbm-1,16
aahikgpk-1,aahikgpk-1,2
aahjamnk-1,aahjamnk-1,2
aahjgief-1,aahjgief-1,2
aahkbncf-1,aahkbncf-1,6
aahnflnb-1,aahnflnb-1,6
aahnhkgb-1,aahnhkgb-1,6
aahoipfa-1,aahoipfa-1,6
aahpaind-1,aahpaind-1,6
aahpohgp-1,aahpohgp-1,6
aaibbflp-1,aaibbflp-1,2
aaibmljb-1,aaibmljb-1,6
aaidloao-1,aaidloao-1,16
aaiecdfa-1,aaiecdfa-1,2
aaiekmpb-1,aaiekmpb-1,2
aaiencde-1,aaiencde-1,6
aaifbgmh-1,aaifbgmh-1,6
aaigmajl-1,aaigmajl-1,16
aaihhlpe-1,aaihhlpe-1,6
aaihklkl-1,aaihklkl-1,6
aaiijiad-1,aaiijiad-1,6
aaijahhm-1,aaijahhm-1,6
aaijbcfd-1,aaijbcfd-1,6
aaijdejn-1,aaijdejn-1,6
aaijecba-1,aaijecba-1,6
aaijedhf-1,aaijedhf-1,6
aaikiffl-1,aaikiffl-1,6
aailkhog-1,aailkhog-1,6
aailpkgb-1,aailpkgb-1,5
aailppoj-1,aailppoj-1,17
aainbhep-1,aainbhep-1,16
aainpgic-1,aainpgic-1,16
aaiofedd-1,aaiofedd-1,17
aaipdhon-1,aaipdhon-1,16
aaipooih-1,aaipooih-1,6
aajaijlh-1,aajaijlh-1,16
aajcdeid-1,aajcdeid-1,6
aajehogo-1,aajehogo-1,16
aajgbiig-1,aajgbiig-1,16
aajgciie-1,aajgciie-1,16
aajgjpce-1,aajgjpce-1,16
aajgmeic-1,aajgmeic-1,16
aajgnhlg-1,aajgnhlg-1,16
aajijple-1,aajijple-1,2
aajjhejl-1,aajjhejl-1,16
aajkomig-1,aajkomig-1,16
aajlbmea-1,aajlbmea-1,16
aajlgnjn-1,aajlgnjn-1,16
aajmbajn-1,aajmbajn-1,16
aajnjmee-1,aajnjmee-1,16
aajnpgfm-1,aajnpgfm-1,16
aajpheof-1,aajpheof-1,16
aajpibnn-1,aajpibnn-1,16
aajpjpdd-1,aajpjpdd-1,16
aakafeia-1,aakafeia-1,16
aakbifmp-1,aakbifmp-1,16
aakcmfpm-1,aakcmfpm-1,16
aakdnimm-1,aakdnimm-1,16
aakephcg-1,aakephcg-1,16
aakfejgg-1,aakfejgg-1,16
aakhoeii-1,aakhoeii-1,16
aakimccc-1,aakimccc-1,16
