,cell_id,banksy_leiden_0.7
aadhgccd-1,aadhgccd-1,10
aadhniog-1,aadhniog-1,10
aadickip-1,aadickip-1,10
aadidlii-1,aadidlii-1,10
aadjfgfp-1,aadjfgfp-1,10
aadjjebp-1,aadjjebp-1,10
aadkbkka-1,aadkbkka-1,4
aadkfmja-1,aadkfmja-1,4
aadkgnee-1,aadkgnee-1,4
aadkmngb-1,aadkmngb-1,4
aadkpgna-1,aadkpgna-1,4
aadlflml-1,aadlflml-1,10
aadlgehm-1,aadlgehm-1,10
aadlggha-1,aadlggha-1,10
aadlhgen-1,aadlhgen-1,10
aadlllgh-1,aadlllgh-1,10
aadloknl-1,aadloknl-1,10
aadmhchg-1,aadmhchg-1,10
aadnicme-1,aadnicme-1,10
aadnkpjl-1,aadnkpjl-1,10
aadnmibc-1,aadnmibc-1,10
aadokbmo-1,aadokbmo-1,10
aadpghji-1,aadpghji-1,4
aadpjlkj-1,aadpjlkj-1,10
aaeacmgl-1,aaeacmgl-1,10
aaeadigp-1,aaeadigp-1,10
aaeahpll-1,aaeahpll-1,10
aaeancfo-1,aaeancfo-1,4
aaebbbao-1,aaebbbao-1,10
aaebcibo-1,aaebcibo-1,10
aaebeljp-1,aaebeljp-1,4
aaebhpae-1,aaebhpae-1,1
aaebjhnk-1,aaebjhnk-1,10
aaebpiio-1,aaebpiio-1,1
aaecbkmh-1,aaecbkmh-1,1
aaecdihb-1,aaecdihb-1,1
aaecllaf-1,aaecllaf-1,1
aaecndke-1,aaecndke-1,4
aaedchnp-1,aaedchnp-1,1
aaeddang-1,aaeddang-1,1
aaedjpgl-1,aaedjpgl-1,1
aaedmhnk-1,aaedmhnk-1,10
aaedmjhh-1,aaedmjhh-1,4
aaedneko-1,aaedneko-1,10
aaeednjn-1,aaeednjn-1,10
aaeefpkc-1,aaeefpkc-1,10
aaefebgh-1,aaefebgh-1,4
aaefhfne-1,aaefhfne-1,3
aaefmhda-1,aaefmhda-1,10
aaefonef-1,aaefonef-1,10
aaegadac-1,aaegadac-1,10
aaegdjbj-1,aaegdjbj-1,4
aaegjgep-1,aaegjgep-1,4
aaegkghf-1,aaegkghf-1,4
aaeiepld-1,aaeiepld-1,4
aaeiiaha-1,aaeiiaha-1,10
aaeioaoa-1,aaeioaoa-1,10
aaeiohjc-1,aaeiohjc-1,10
aaejikdp-1,aaejikdp-1,10
aaejmche-1,aaejmche-1,10
aaejmjjj-1,aaejmjjj-1,10
aaekefdh-1,aaekefdh-1,1
aaekgecm-1,aaekgecm-1,1
aaelifnk-1,aaelifnk-1,1
aaelmknp-1,aaelmknp-1,10
aaelmlbi-1,aaelmlbi-1,10
aaelonfi-1,aaelonfi-1,10
aaemiodd-1,aaemiodd-1,10
aaempdee-1,aaempdee-1,10
aaenblpg-1,aaenblpg-1,10
aaenlpga-1,aaenlpga-1,10
aaennboi-1,aaennboi-1,10
aaeomoje-1,aaeomoje-1,10
aaeopodl-1,aaeopodl-1,10
aaepinfj-1,aaepinfj-1,10
aaeplhcf-1,aaeplhcf-1,10
aaeppmpn-1,aaeppmpn-1,10
aafacjnn-1,aafacjnn-1,10
aafagheb-1,aafagheb-1,10
aafahdnc-1,aafahdnc-1,10
aafanagd-1,aafanagd-1,10
aafanala-1,aafanala-1,4
aafbcnid-1,aafbcnid-1,4
aafbhbla-1,aafbhbla-1,4
aafblmai-1,aafblmai-1,10
aafbpccm-1,aafbpccm-1,10
aafccpmi-1,aafccpmi-1,10
aafcebhc-1,aafcebhc-1,1
aafcgcdi-1,aafcgcdi-1,10
aafffklp-1,aafffklp-1,10
aafhbnpe-1,aafhbnpe-1,1
aafhdcdh-1,aafhdcdh-1,4
aafheejf-1,aafheejf-1,4
aafhfjkp-1,aafhfjkp-1,7
aafhmlmg-1,aafhmlmg-1,9
aafienda-1,aafienda-1,4
aafjcbjf-1,aafjcbjf-1,7
aafjiieg-1,aafjiieg-1,7
aafjjedp-1,aafjjedp-1,10
aafkachl-1,aafkachl-1,10
aafkmafe-1,aafkmafe-1,10
aafloiim-1,aafloiim-1,10
aafmecep-1,aafmecep-1,10
aafmfdnd-1,aafmfdnd-1,10
aafmfocg-1,aafmfocg-1,10
aafmhcmo-1,aafmhcmo-1,10
aafmlhbn-1,aafmlhbn-1,10
aafnabjd-1,aafnabjd-1,10
aafnfoek-1,aafnfoek-1,10
aafofdcn-1,aafofdcn-1,10
aafogfkp-1,aafogfkp-1,1
aafpifcl-1,aafpifcl-1,8
aafpmigj-1,aafpmigj-1,8
aafpnfjo-1,aafpnfjo-1,8
aafppmdj-1,aafppmdj-1,23
aagabcih-1,aagabcih-1,1
aagabiod-1,aagabiod-1,4
aagakmpd-1,aagakmpd-1,1
aagaoill-1,aagaoill-1,1
aagbjgbf-1,aagbjgbf-1,10
aagblgho-1,aagblgho-1,10
aagbnngh-1,aagbnngh-1,10
aagcamjg-1,aagcamjg-1,10
aagclfep-1,aagclfep-1,10
aagcnkgb-1,aagcnkgb-1,10
aagdjjha-1,aagdjjha-1,10
aagdpclc-1,aagdpclc-1,10
aageaobi-1,aageaobi-1,10
aagebjcf-1,aagebjcf-1,1
aagefdbk-1,aagefdbk-1,1
aagemikb-1,aagemikb-1,4
aagenhcm-1,aagenhcm-1,4
aagfcpdk-1,aagfcpdk-1,10
aagfjplc-1,aagfjplc-1,10
aagflcec-1,aagflcec-1,10
aagfmgfk-1,aagfmgfk-1,10
aaggehgb-1,aaggehgb-1,10
aaggokdg-1,aaggokdg-1,10
aaghimch-1,aaghimch-1,4
aagieigp-1,aagieigp-1,10
aaginjob-1,aaginjob-1,10
aagjgafh-1,aagjgafh-1,10
aagjgefc-1,aagjgefc-1,10
aagkmepn-1,aagkmepn-1,10
aaglpkfo-1,aaglpkfo-1,10
aagmdkeb-1,aagmdkeb-1,10
aagmebon-1,aagmebon-1,10
aagmhiak-1,aagmhiak-1,10
aagmknpg-1,aagmknpg-1,10
aagmnddm-1,aagmnddm-1,10
aagnogoo-1,aagnogoo-1,10
aagnoplj-1,aagnoplj-1,10
aagocbic-1,aagocbic-1,10
aagohbpe-1,aagohbpe-1,10
aagoipih-1,aagoipih-1,10
aagojaab-1,aagojaab-1,10
aagokfnn-1,aagokfnn-1,10
aagolplb-1,aagolplb-1,10
aagoophl-1,aagoophl-1,10
aagopjee-1,aagopjee-1,10
aagpeepn-1,aagpeepn-1,10
aagpjcah-1,aagpjcah-1,4
aagplobh-1,aagplobh-1,10
aahajifb-1,aahajifb-1,10
aahaohfc-1,aahaohfc-1,10
aahbcbel-1,aahbcbel-1,10
aahboihb-1,aahboihb-1,10
aahbokmf-1,aahbokmf-1,10
aahcmenb-1,aahcmenb-1,10
aahdhdbf-1,aahdhdbf-1,10
aahdmanl-1,aahdmanl-1,10
aahdnddd-1,aahdnddd-1,10
aahdnkgb-1,aahdnkgb-1,10
aahdnpfg-1,aahdnpfg-1,10
aahednmo-1,aahednmo-1,10
aahejnoh-1,aahejnoh-1,10
aaheklmk-1,aaheklmk-1,10
aahepobg-1,aahepobg-1,10
aahffkoe-1,aahffkoe-1,10
aahghfdh-1,aahghfdh-1,10
aahhcbol-1,aahhcbol-1,10
aahhdonb-1,aahhdonb-1,10
aahibpln-1,aahibpln-1,10
aahipago-1,aahipago-1,4
aahjbial-1,aahjbial-1,4
aahkeaib-1,aahkeaib-1,4
aahkjokk-1,aahkjokk-1,10
aahkoddc-1,aahkoddc-1,10
aahmbmgc-1,aahmbmgc-1,10
aahnfjne-1,aahnfjne-1,15
aahnmaff-1,aahnmaff-1,4
aahnmmao-1,aahnmmao-1,4
aahoeife-1,aahoeife-1,4
aahogmcb-1,aahogmcb-1,4
aahoidmd-1,aahoidmd-1,4
aahoikbc-1,aahoikbc-1,4
aahojfop-1,aahojfop-1,10
aaholmao-1,aaholmao-1,10
aahonkea-1,aahonkea-1,10
aahpdbmj-1,aahpdbmj-1,10
aahpebje-1,aahpebje-1,10
aahpgolf-1,aahpgolf-1,10
aahpoikk-1,aahpoikk-1,10
aaiaamoe-1,aaiaamoe-1,10
aaiajdoa-1,aaiajdoa-1,10
aaiakjel-1,aaiakjel-1,10
