,cell_id,banksy_leiden_0.7
bcoapdnh-1,bcoapdnh-1,13
bcobegih-1,bcobegih-1,13
bcocpmbe-1,bcocpmbe-1,13
bcodhofp-1,bcodhofp-1,13
bcodldoa-1,bcodldoa-1,13
bcodnblf-1,bcodnblf-1,5
bcoeamio-1,bcoeamio-1,5
bcoeneao-1,bcoeneao-1,2
bcofgfhd-1,bcofgfhd-1,5
bcofhmhh-1,bcofhmhh-1,4
bcofjaek-1,bcofjaek-1,13
bcofpifh-1,bcofpifh-1,13
bcogedcg-1,bcogedcg-1,13
bcogfhob-1,bcogfhob-1,13
bcogikgg-1,bcogikgg-1,13
bcogioni-1,bcogioni-1,13
bcognbni-1,bcognbni-1,13
bcohkmeg-1,bcohkmeg-1,13
bcoiaojc-1,bcoiaojc-1,13
bcoifabk-1,bcoifabk-1,13
bcoiiakp-1,bcoiiakp-1,13
bcoinnhe-1,bcoinnhe-1,13
bcojanee-1,bcojanee-1,13
bcojkpbg-1,bcojkpbg-1,13
bcojmmho-1,bcojmmho-1,13
bcojogip-1,bcojogip-1,13
bcokdnjp-1,bcokdnjp-1,13
bcokjobn-1,bcokjobn-1,13
bcokmabb-1,bcokmabb-1,13
bcolamjh-1,bcolamjh-1,13
bcolgihf-1,bcolgihf-1,13
bcolhnld-1,bcolhnld-1,13
bcomkknc-1,bcomkknc-1,13
bconikkg-1,bconikkg-1,13
bconkghg-1,bconkghg-1,13
bcoocamm-1,bcoocamm-1,13
bcoogkep-1,bcoogkep-1,13
bcooipak-1,bcooipak-1,2
bcooofki-1,bcooofki-1,13
bcooopcc-1,bcooopcc-1,13
bcoplfea-1,bcoplfea-1,13
bcpamekb-1,bcpamekb-1,13
bcpbfleo-1,bcpbfleo-1,2
bcpbpfcm-1,bcpbpfcm-1,13
bcpbphio-1,bcpbphio-1,13
bcpcndof-1,bcpcndof-1,13
bcpcpdie-1,bcpcpdie-1,13
bcpdfmlj-1,bcpdfmlj-1,13
bcpdldod-1,bcpdldod-1,13
bcpejpom-1,bcpejpom-1,13
bcpepimb-1,bcpepimb-1,13
bcpepohc-1,bcpepohc-1,13
bcpfpjna-1,bcpfpjna-1,13
bcpgebed-1,bcpgebed-1,13
bcpgpfhp-1,bcpgpfhp-1,13
bcphfnbm-1,bcphfnbm-1,13
bcphihna-1,bcphihna-1,13
bcphknpp-1,bcphknpp-1,13
bcphngbn-1,bcphngbn-1,13
bcpimmgj-1,bcpimmgj-1,2
bcpjejdc-1,bcpjejdc-1,13
bcpjekdp-1,bcpjekdp-1,13
bcpjionh-1,bcpjionh-1,13
bcpjjlbm-1,bcpjjlbm-1,13
bcpjlfic-1,bcpjlfic-1,13
bcpklcea-1,bcpklcea-1,13
bcpkpnmo-1,bcpkpnmo-1,13
bcplecoc-1,bcplecoc-1,13
bcpmadge-1,bcpmadge-1,13
bcpmcffk-1,bcpmcffk-1,13
bcpmheke-1,bcpmheke-1,13
bcpnmehc-1,bcpnmehc-1,13
bcpopdfg-1,bcpopdfg-1,13
bcppfogl-1,bcppfogl-1,13
bcppnimc-1,bcppnimc-1,13
bcppnjlm-1,bcppnjlm-1,13
bdaadmje-1,bdaadmje-1,13
bdabdffk-1,bdabdffk-1,13
bdabdfnm-1,bdabdfnm-1,13
bdacajea-1,bdacajea-1,13
bdaecdkm-1,bdaecdkm-1,13
bdaeffjc-1,bdaeffjc-1,13
bdaeglag-1,bdaeglag-1,13
bdafmagl-1,bdafmagl-1,13
bdafmdhf-1,bdafmdhf-1,13
bdafnekm-1,bdafnekm-1,13
bdafoaek-1,bdafoaek-1,13
bdafpohb-1,bdafpohb-1,13
bdagfflp-1,bdagfflp-1,13
bdagmocg-1,bdagmocg-1,13
bdagpcgb-1,bdagpcgb-1,13
bdahgbcp-1,bdahgbcp-1,13
bdahlfip-1,bdahlfip-1,13
bdaieceb-1,bdaieceb-1,13
bdajflkd-1,bdajflkd-1,13
bdajldok-1,bdajldok-1,13
bdajlekc-1,bdajlekc-1,13
bdakemhg-1,bdakemhg-1,13
bdakgmgi-1,bdakgmgi-1,13
bdakjgdc-1,bdakjgdc-1,13
bdakjldj-1,bdakjldj-1,13
bdakpbnm-1,bdakpbnm-1,13
bdalamih-1,bdalamih-1,13
bdalelbd-1,bdalelbd-1,13
bdalghle-1,bdalghle-1,13
bdalgifl-1,bdalgifl-1,13
bdaljoge-1,bdaljoge-1,13
bdamlapl-1,bdamlapl-1,13
bdanbpmk-1,bdanbpmk-1,13
bdanlfij-1,bdanlfij-1,13
bdanlhbj-1,bdanlhbj-1,13
bdaodmle-1,bdaodmle-1,13
bdaofpgp-1,bdaofpgp-1,2
bdaoncdh-1,bdaoncdh-1,2
bdaoojph-1,bdaoojph-1,13
bdapblfl-1,bdapblfl-1,2
bdbahkij-1,bdbahkij-1,13
bdbainlp-1,bdbainlp-1,13
bdbalgol-1,bdbalgol-1,13
bdballbi-1,bdballbi-1,13
bdbbgcmb-1,bdbbgcmb-1,13
bdbbhncm-1,bdbbhncm-1,13
bdbdflak-1,bdbdflak-1,13
bdbeccfm-1,bdbeccfm-1,13
bdbeepjj-1,bdbeepjj-1,13
bdbeicef-1,bdbeicef-1,13
bdbelgph-1,bdbelgph-1,13
bdbfbdbb-1,bdbfbdbb-1,13
bdbffddp-1,bdbffddp-1,13
bdbfkdko-1,bdbfkdko-1,12
bdbfkfbk-1,bdbfkfbk-1,2
bdbflljb-1,bdbflljb-1,2
bdbgopio-1,bdbgopio-1,13
bdbhmeio-1,bdbhmeio-1,2
bdbhmjoa-1,bdbhmjoa-1,2
bdbjnbfc-1,bdbjnbfc-1,2
bdbjoddn-1,bdbjoddn-1,12
bdbkinam-1,bdbkinam-1,12
bdbkjkhj-1,bdbkjkhj-1,13
bdbkpcae-1,bdbkpcae-1,13
bdbldhbk-1,bdbldhbk-1,13
bdblfalj-1,bdblfalj-1,13
bdbljffl-1,bdbljffl-1,13
bdbmjomk-1,bdbmjomk-1,13
bdbmkahm-1,bdbmkahm-1,13
bdbmpkpg-1,bdbmpkpg-1,13
bdbnbjgj-1,bdbnbjgj-1,13
bdboakba-1,bdboakba-1,13
bdbpnfbl-1,bdbpnfbl-1,13
bdcaffnk-1,bdcaffnk-1,13
bdcamnaa-1,bdcamnaa-1,13
bdcanekc-1,bdcanekc-1,13
bdcbjjij-1,bdcbjjij-1,13
bdcbphaf-1,bdcbphaf-1,13
bdcchaig-1,bdcchaig-1,13
bdcckpcf-1,bdcckpcf-1,13
bdcdmaab-1,bdcdmaab-1,13
bdcedjfl-1,bdcedjfl-1,2
bdcejblj-1,bdcejblj-1,13
bdcfabmo-1,bdcfabmo-1,2
bdcfajel-1,bdcfajel-1,13
bdcfdiik-1,bdcfdiik-1,13
bdcfnicp-1,bdcfnicp-1,13
bdcghcgj-1,bdcghcgj-1,2
bdcglfjk-1,bdcglfjk-1,12
