,cell_id,initial_cell_type,banksy_leiden_0.7
aafiiejl-1,aafiiejl-1,Hepatocyte,NA
aafiifnn-1,aafiifnn-1,Hepatocyte,NA
aafilfio-1,aafilfio-1,Hepatocyte,NA
aafjikdb-1,aafjikdb-1,Hepatocyte,NA
aafkfmaf-1,aafkfmaf-1,Hepatocyte,NA
aafkmkdi-1,aafkmkdi-1,Hepatocyte,NA
aafledgo-1,aafledgo-1,Hepatocyte,NA
aaflgjpf-1,aaflgjpf-1,Hepatocyte,NA
aafmaffi-1,aafmaffi-1,Hepatocyte,NA
aafmdgcm-1,aafmdgcm-1,Tumor,NA
aafnkfno-1,aafnkfno-1,Hepatocyte,NA
aafolgio-1,aafolgio-1,Hepatocyte,NA
aafplbam-1,aafplbam-1,Hepatocyte,NA
aagabeel-1,aagabeel-1,Hepatocyte,NA
aagdaepf-1,aagdaepf-1,Cholangiocyte,NA
aagdbdme-1,aagdbdme-1,Cholangiocyte,NA
aagdbmbi-1,aagdbmbi-1,Hepatocyte,NA
aagdlbdo-1,aagdlbdo-1,Tumor,NA
aagenecf-1,aagenecf-1,Tumor,NA
aageohak-1,aageohak-1,Tumor,NA
aagfhpln-1,aagfhpln-1,Tumor,NA
aaghdhli-1,aaghdhli-1,Tumor,NA
aagjkmho-1,aagjkmho-1,Tumor,NA
aagknlde-1,aagknlde-1,Tumor,NA
aagleabe-1,aagleabe-1,Tumor,NA
aagmnhag-1,aagmnhag-1,Tumor,NA
aagpfeml-1,aagpfeml-1,Tumor,NA
aahaoipo-1,aahaoipo-1,Tumor,NA
aahcjgdn-1,aahcjgdn-1,Tumor,NA
aahebhgb-1,aahebhgb-1,Tumor,NA
aahemegl-1,aahemegl-1,Tumor,NA
aahgiaoc-1,aahgiaoc-1,Hepatocyte,NA
aahhbgno-1,aahhbgno-1,Lymphocyte,NA
aahjcimf-1,aahjcimf-1,Hepatocyte,NA
aahmnkhd-1,aahmnkhd-1,Hepatocyte,NA
aahnfice-1,aahnfice-1,Hepatocyte,NA
aahnonik-1,aahnonik-1,Hepatocyte,NA
aahokfhn-1,aahokfhn-1,Hepatocyte,NA
aaiagafp-1,aaiagafp-1,Fibroblast,NA
aaibbbgl-1,aaibbbgl-1,Hepatocyte,NA
aaibbnom-1,aaibbnom-1,Tumor,NA
aaibdddb-1,aaibdddb-1,Tumor,NA
aaibhedd-1,aaibhedd-1,Tumor,NA
aaibmlin-1,aaibmlin-1,Tumor,NA
aaidengl-1,aaidengl-1,Tumor,NA
aaidjobj-1,aaidjobj-1,Tumor,NA
aaigioal-1,aaigioal-1,Tumor,NA
aaiiclnn-1,aaiiclnn-1,Tumor,NA
aaikhkie-1,aaikhkie-1,Tumor,NA
aaikmelj-1,aaikmelj-1,Tumor,NA
aailcjae-1,aailcjae-1,Tumor,NA
aailflol-1,aailflol-1,Tumor,NA
aailmjmk-1,aailmjmk-1,Hepatocyte,NA
aaimjlkf-1,aaimjlkf-1,Tumor,NA
aainfebf-1,aainfebf-1,Hepatocyte,NA
aaiohnpg-1,aaiohnpg-1,Hepatocyte,NA
aaioiicf-1,aaioiicf-1,Hepatocyte,NA
aajaefom-1,aajaefom-1,Fibroblast,NA
aajbemda-1,aajbemda-1,Hepatocyte,NA
aajbmkee-1,aajbmkee-1,Hepatocyte,NA
aajdbbeg-1,aajdbbeg-1,Hepatocyte,NA
aajddemj-1,aajddemj-1,Hepatocyte,NA
aajdmghp-1,aajdmghp-1,Fibroblast,NA
aajdocgg-1,aajdocgg-1,Myeloid,NA
aajeaokj-1,aajeaokj-1,Hepatocyte,NA
aajefidl-1,aajefidl-1,Hepatocyte,NA
aajfbojk-1,aajfbojk-1,Hepatocyte,NA
aajgmlok-1,aajgmlok-1,Hepatocyte,NA
aajhonnp-1,aajhonnp-1,Hepatocyte,NA
aajiodmm-1,aajiodmm-1,Hepatocyte,NA
aajjgppk-1,aajjgppk-1,Hepatocyte,NA
aajjjoka-1,aajjjoka-1,Hepatocyte,NA
aajlepih-1,aajlepih-1,Hepatocyte,NA
aajllnnp-1,aajllnnp-1,Hepatocyte,NA
aajncinn-1,aajncinn-1,Hepatocyte,NA
aakaodae-1,aakaodae-1,Hepatocyte,NA
aakaomob-1,aakaomob-1,Hepatocyte,NA
aakbaiai-1,aakbaiai-1,Hepatocyte,NA
aakbcpdi-1,aakbcpdi-1,Hepatocyte,NA
aakbmloh-1,aakbmloh-1,Hepatocyte,NA
aakgihdg-1,aakgihdg-1,Hepatocyte,NA
aakhefdn-1,aakhefdn-1,Hepatocyte,NA
aakhhffn-1,aakhhffn-1,Hepatocyte,NA
aakhhkil-1,aakhhkil-1,Hepatocyte,NA
aakiamnf-1,aakiamnf-1,Hepatocyte,NA
aakigmbp-1,aakigmbp-1,Hepatocyte,NA
aakjlomh-1,aakjlomh-1,Hepatocyte,NA
aaklhmfc-1,aaklhmfc-1,Hepatocyte,NA
aakllgbj-1,aakllgbj-1,Hepatocyte,NA
aaklmagl-1,aaklmagl-1,Hepatocyte,NA
aaklmeha-1,aaklmeha-1,Hepatocyte,NA
aaklnogn-1,aaklnogn-1,Necrosis,NA
aaknjnhb-1,aaknjnhb-1,Hepatocyte,NA
aakoelpk-1,aakoelpk-1,Cholangiocyte,NA
aakpdplk-1,aakpdplk-1,Fibroblast,NA
aakpebon-1,aakpebon-1,Myeloid,NA
aalagbnd-1,aalagbnd-1,Hepatocyte,NA
aalbchcj-1,aalbchcj-1,Hepatocyte,NA
aalbnonj-1,aalbnonj-1,Hepatocyte,NA
aalcnbig-1,aalcnbig-1,Hepatocyte,NA
aalcnehk-1,aalcnehk-1,Hepatocyte,NA
aalecdoe-1,aalecdoe-1,Hepatocyte,NA
aalepgab-1,aalepgab-1,Hepatocyte,NA
aalfbikc-1,aalfbikc-1,Hepatocyte,NA
aalgcdcl-1,aalgcdcl-1,Hepatocyte,NA
aaligchk-1,aaligchk-1,Hepatocyte,NA
aalkheno-1,aalkheno-1,Hepatocyte,NA
aalkmcnn-1,aalkmcnn-1,Hepatocyte,NA
aalmpdhd-1,aalmpdhd-1,Hepatocyte,NA
aalnbecb-1,aalnbecb-1,Hepatocyte,NA
aalnmgag-1,aalnmgag-1,Hepatocyte,NA
aalnoiob-1,aalnoiob-1,Hepatocyte,NA
aambhinc-1,aambhinc-1,Hepatocyte,NA
aamcfkge-1,aamcfkge-1,Hepatocyte,NA
aamcflik-1,aamcflik-1,Hepatocyte,NA
aamdlbjo-1,aamdlbjo-1,Hepatocyte,NA
aamdoabf-1,aamdoabf-1,Hepatocyte,NA
aamggpmc-1,aamggpmc-1,Hepatocyte,NA
aamgnoia-1,aamgnoia-1,Hepatocyte,NA
aamidmko-1,aamidmko-1,Hepatocyte,NA
aamjmmbp-1,aamjmmbp-1,Smooth muscle,NA
aamjpjfc-1,aamjpjfc-1,Hepatocyte,NA
aammbfmm-1,aammbfmm-1,Hepatocyte,NA
aamnimba-1,aamnimba-1,Hepatocyte,NA
aamnkjjp-1,aamnkjjp-1,Hepatocyte,NA
aanaohce-1,aanaohce-1,Hepatocyte,NA
aancdeie-1,aancdeie-1,Hepatocyte,NA
aanchbof-1,aanchbof-1,Myeloid,NA
aandpeme-1,aandpeme-1,Hepatocyte,NA
aaneedkk-1,aaneedkk-1,Hepatocyte,NA
aanfbmpj-1,aanfbmpj-1,Fibroblast,NA
aanfhagf-1,aanfhagf-1,Hepatocyte,NA
aanfmmmh-1,aanfmmmh-1,Hepatocyte,NA
aangdmdl-1,aangdmdl-1,Hepatocyte,NA
aanhokeb-1,aanhokeb-1,Hepatocyte,NA
aanjpada-1,aanjpada-1,Endothelial-Mural Cell,NA
aankgfob-1,aankgfob-1,Hepatocyte,NA
aankikkn-1,aankikkn-1,Hepatocyte,NA
aanndlib-1,aanndlib-1,Hepatocyte,NA
aanonlkf-1,aanonlkf-1,Fibroblast,NA
aanpamfi-1,aanpamfi-1,Hepatocyte,NA
aaocjfpi-1,aaocjfpi-1,Hepatocyte,NA
aaockpmp-1,aaockpmp-1,Hepatocyte,NA
aaodhimc-1,aaodhimc-1,Hepatocyte,NA
aaogbkcf-1,aaogbkcf-1,Hepatocyte,NA
aaogckcc-1,aaogckcc-1,Hepatocyte,NA
aaojeigi-1,aaojeigi-1,Hepatocyte,NA
aaojmndp-1,aaojmndp-1,Hepatocyte,NA
aaojnghh-1,aaojnghh-1,Hepatocyte,NA
aaokkdpa-1,aaokkdpa-1,Hepatocyte,NA
aaoklapf-1,aaoklapf-1,Hepatocyte,NA
aaolpipg-1,aaolpipg-1,Hepatocyte,NA
abdojbma-1,abdojbma-1,Hepatocyte,NA
abdpjcef-1,abdpjcef-1,Hepatocyte,NA
abdpkppo-1,abdpkppo-1,Hepatocyte,NA
abeafoii-1,abeafoii-1,Hepatocyte,NA
abeamlee-1,abeamlee-1,Hepatocyte,NA
abebcmag-1,abebcmag-1,Hepatocyte,NA
abedanma-1,abedanma-1,Hepatocyte,NA
abedonil-1,abedonil-1,Myeloid,NA
abegmgce-1,abegmgce-1,Hepatocyte,NA
abejapco-1,abejapco-1,Hepatocyte,NA
abekdaia-1,abekdaia-1,Hepatocyte,NA
abekfjpk-1,abekfjpk-1,Hepatocyte,NA
abekiihl-1,abekiihl-1,Hepatocyte,NA
abemdkec-1,abemdkec-1,Hepatocyte,NA
abeojgff-1,abeojgff-1,Hepatocyte,NA
abeomnjh-1,abeomnjh-1,Hepatocyte,NA
abeoocch-1,abeoocch-1,Hepatocyte,NA
abfaekkh-1,abfaekkh-1,Hepatocyte,NA
abfcnnao-1,abfcnnao-1,Hepatocyte,NA
abfephpb-1,abfephpb-1,Hepatocyte,NA
abfgjgdk-1,abfgjgdk-1,Myeloid,NA
abfidajg-1,abfidajg-1,Hepatocyte,NA
abfjomfm-1,abfjomfm-1,Hepatocyte,NA
abfkmbod-1,abfkmbod-1,Hepatocyte,NA
abflhedj-1,abflhedj-1,Hepatocyte,NA
abgbkngo-1,abgbkngo-1,Hepatocyte,NA
abgbpeea-1,abgbpeea-1,Hepatocyte,NA
abgciohn-1,abgciohn-1,Hepatocyte,NA
abghemcm-1,abghemcm-1,Hepatocyte,NA
abgibcga-1,abgibcga-1,Hepatocyte,NA
abgjdefb-1,abgjdefb-1,Hepatocyte,NA
abgjfcam-1,abgjfcam-1,Hepatocyte,NA
abgkcanm-1,abgkcanm-1,Hepatocyte,NA
abgkkgfi-1,abgkkgfi-1,Hepatocyte,NA
adaicjdk-1,adaicjdk-1,Hepatocyte,NA
adaijjaf-1,adaijjaf-1,Lymphocyte,NA
adaipfdl-1,adaipfdl-1,Fibroblast,NA
adajmhha-1,adajmhha-1,Hepatocyte,NA
adakcfaj-1,adakcfaj-1,Unknown,NA
adakgcoa-1,adakgcoa-1,Hepatocyte,NA
adamcgla-1,adamcgla-1,Fibroblast,NA
adanblgk-1,adanblgk-1,Cholangiocyte,NA
adbaljhj-1,adbaljhj-1,Cholangiocyte,NA
adbbejkn-1,adbbejkn-1,Fibroblast,NA
adbbeplg-1,adbbeplg-1,Fibroblast,NA
adbcpjod-1,adbcpjod-1,Lymphocyte,NA
adbdhgjg-1,adbdhgjg-1,Lymphocyte,NA
adbdnbnh-1,adbdnbnh-1,Lymphocyte,NA
adbeemij-1,adbeemij-1,Cholangiocyte,NA
adbfbmgm-1,adbfbmgm-1,Cholangiocyte,NA
adbfgdhb-1,adbfgdhb-1,Cholangiocyte,NA
adbfmgnk-1,adbfmgnk-1,Lymphocyte,NA
adbfoenn-1,adbfoenn-1,Hepatocyte,NA
adbgagkb-1,adbgagkb-1,Myeloid,NA
adbghkok-1,adbghkok-1,Lymphocyte,NA
adbhcbel-1,adbhcbel-1,Lymphocyte,NA
adbhngif-1,adbhngif-1,Lymphocyte,NA
adbjokhb-1,adbjokhb-1,Fibroblast,NA
adblbboj-1,adblbboj-1,Lymphocyte,NA
addedifn-1,addedifn-1,Lymphocyte,NA
addenmlp-1,addenmlp-1,Cholangiocyte,NA
addfbgff-1,addfbgff-1,Cholangiocyte,NA
addhacga-1,addhacga-1,Lymphocyte,NA
addiilmb-1,addiilmb-1,Cholangiocyte,NA
addjhmni-1,addjhmni-1,Hepatocyte,NA
addlaoji-1,addlaoji-1,Myeloid,NA
addlbipn-1,addlbipn-1,Lymphocyte,NA
addljhha-1,addljhha-1,Lymphocyte,NA
addmamof-1,addmamof-1,Lymphocyte,NA
addnhkml-1,addnhkml-1,Lymphocyte,NA
addnhlpi-1,addnhlpi-1,Lymphocyte,NA
addobaal-1,addobaal-1,Fibroblast,NA
addobbho-1,addobbho-1,Lymphocyte,NA
addocgjd-1,addocgjd-1,Lymphocyte,NA
addogifi-1,addogifi-1,Lymphocyte,NA
addolclc-1,addolclc-1,Cholangiocyte,NA
addpglkf-1,addpglkf-1,Lymphocyte,NA
adebdggg-1,adebdggg-1,Cholangiocyte,NA
adebfikj-1,adebfikj-1,Cholangiocyte,NA
adebomgl-1,adebomgl-1,Lymphocyte,NA
adedbffe-1,adedbffe-1,Fibroblast,NA
adeegloj-1,adeegloj-1,Endothelial-Mural Cell,NA
adeffonc-1,adeffonc-1,Lymphocyte,NA
adefjbem-1,adefjbem-1,Cholangiocyte,NA
adeghbop-1,adeghbop-1,Fibroblast,NA
adejnjpp-1,adejnjpp-1,Lymphocyte,NA
adekojol-1,adekojol-1,Lymphocyte,NA
adelcgfi-1,adelcgfi-1,Necrosis,NA
adelchmm-1,adelchmm-1,Lymphocyte,NA
adenaehd-1,adenaehd-1,Cholangiocyte,NA
adenilmh-1,adenilmh-1,Lymphocyte,NA
adepnepk-1,adepnepk-1,Lymphocyte,NA
adfamhjh-1,adfamhjh-1,Lymphocyte,NA
adfcdkpg-1,adfcdkpg-1,Lymphocyte,NA
adfdnbfp-1,adfdnbfp-1,Hepatocyte,NA
adfdongj-1,adfdongj-1,Hepatocyte,NA
adfebhbj-1,adfebhbj-1,Hepatocyte,NA
adfebojd-1,adfebojd-1,Hepatocyte,NA
adfflell-1,adfflell-1,Cholangiocyte,NA
adffpndo-1,adffpndo-1,Hepatocyte,NA
adfgnkeb-1,adfgnkeb-1,Hepatocyte,NA
adfhhilo-1,adfhhilo-1,Hepatocyte,NA
adfhkncn-1,adfhkncn-1,Cholangiocyte,NA
adfjcnpl-1,adfjcnpl-1,Cholangiocyte,NA
adfjkgon-1,adfjkgon-1,Hepatocyte,NA
adfkgiao-1,adfkgiao-1,Hepatocyte,NA
adfldhbh-1,adfldhbh-1,Hepatocyte,NA
adfljbkf-1,adfljbkf-1,Hepatocyte,NA
adfljldl-1,adfljldl-1,Hepatocyte,NA
adfogbcb-1,adfogbcb-1,Cholangiocyte,NA
adijjiim-1,adijjiim-1,Hepatocyte,NA
adimlimg-1,adimlimg-1,Hepatocyte,NA
adinbmch-1,adinbmch-1,Hepatocyte,NA
adioclaa-1,adioclaa-1,Cholangiocyte,NA
adiolkeo-1,adiolkeo-1,Hepatocyte,NA
adiolmpn-1,adiolmpn-1,Hepatocyte,NA
adipmanb-1,adipmanb-1,Hepatocyte,NA
adjajmpf-1,adjajmpf-1,Lymphocyte,NA
adjbgpbc-1,adjbgpbc-1,Hepatocyte,NA
adjdgnfh-1,adjdgnfh-1,Hepatocyte,NA
adjdldcf-1,adjdldcf-1,Hepatocyte,NA
adjfcike-1,adjfcike-1,Myeloid,NA
adjfnnpf-1,adjfnnpf-1,Myeloid,NA
adjiihjg-1,adjiihjg-1,Hepatocyte,NA
adjjcfjm-1,adjjcfjm-1,Hepatocyte,NA
adjknddf-1,adjknddf-1,Myeloid,NA
adjkndll-1,adjkndll-1,Hepatocyte,NA
adjlnjhj-1,adjlnjhj-1,Hepatocyte,NA
adjmabjb-1,adjmabjb-1,Hepatocyte,NA
adjmiojn-1,adjmiojn-1,Cholangiocyte,NA
adjngbjj-1,adjngbjj-1,Cholangiocyte,NA
adjnlcao-1,adjnlcao-1,Cholangiocyte,NA
adjogeef-1,adjogeef-1,Hepatocyte,NA
adjonmec-1,adjonmec-1,Cholangiocyte,NA
adjonnie-1,adjonnie-1,Necrosis,NA
adjphcgp-1,adjphcgp-1,Lymphocyte,NA
adkanmbf-1,adkanmbf-1,Hepatocyte,NA
adkehmmp-1,adkehmmp-1,Lymphocyte,NA
adkggbjp-1,adkggbjp-1,Lymphocyte,NA
adkgokbd-1,adkgokbd-1,Cholangiocyte,NA
adkilkbg-1,adkilkbg-1,Lymphocyte,NA
adkkaidh-1,adkkaidh-1,Hepatocyte,NA
adklbmee-1,adklbmee-1,Fibroblast,NA
adklehpc-1,adklehpc-1,Fibroblast,NA
adkmcbhd-1,adkmcbhd-1,Fibroblast,NA
adkmpajf-1,adkmpajf-1,Myeloid,NA
adknlioo-1,adknlioo-1,Hepatocyte,NA
adladlnp-1,adladlnp-1,Hepatocyte,NA
adlbebkl-1,adlbebkl-1,Hepatocyte,NA
adldekhb-1,adldekhb-1,Hepatocyte,NA
adldlfcb-1,adldlfcb-1,Hepatocyte,NA
adlelaei-1,adlelaei-1,Cholangiocyte,NA
adlemaen-1,adlemaen-1,Lymphocyte,NA
adlemhib-1,adlemhib-1,Lymphocyte,NA
adlfdblo-1,adlfdblo-1,Necrosis,NA
adlgaeei-1,adlgaeei-1,Necrosis,NA
adlggbll-1,adlggbll-1,Lymphocyte,NA
adlgkbnk-1,adlgkbnk-1,Hepatocyte,NA
adlgmkfn-1,adlgmkfn-1,Endothelial-Mural Cell,NA
adlgonig-1,adlgonig-1,Hepatocyte,NA
adlgpafj-1,adlgpafj-1,Hepatocyte,NA
adlhfbpi-1,adlhfbpi-1,Lymphocyte,NA
adlhjafe-1,adlhjafe-1,Myeloid,NA
adljghfn-1,adljghfn-1,Hepatocyte,NA
adlkdjck-1,adlkdjck-1,Hepatocyte,NA
adlkldkm-1,adlkldkm-1,Hepatocyte,NA
adlmcilm-1,adlmcilm-1,Hepatocyte,NA
adlmjpfb-1,adlmjpfb-1,Hepatocyte,NA
adlpbbgo-1,adlpbbgo-1,Hepatocyte,NA
admbgdda-1,admbgdda-1,Hepatocyte,NA
admcganm-1,admcganm-1,Hepatocyte,NA
admclgii-1,admclgii-1,Hepatocyte,NA
admcnpdn-1,admcnpdn-1,Hepatocyte,NA
admcogpd-1,admcogpd-1,Hepatocyte,NA
admefglp-1,admefglp-1,Hepatocyte,NA
admfbneb-1,admfbneb-1,Hepatocyte,NA
admfilln-1,admfilln-1,Hepatocyte,NA
admiekce-1,admiekce-1,Hepatocyte,NA
admipeah-1,admipeah-1,Hepatocyte,NA
admjdkai-1,admjdkai-1,Hepatocyte,NA
admkhfkf-1,admkhfkf-1,Hepatocyte,NA
admkpgbd-1,admkpgbd-1,Lymphocyte,NA
admmcioi-1,admmcioi-1,Necrosis,NA
admmflhd-1,admmflhd-1,Hepatocyte,NA
admmhaig-1,admmhaig-1,Hepatocyte,NA
admmhmml-1,admmhmml-1,Hepatocyte,NA
admmldeo-1,admmldeo-1,Hepatocyte,NA
admmojpo-1,admmojpo-1,Hepatocyte,NA
admnbkic-1,admnbkic-1,Hepatocyte,NA
admpioff-1,admpioff-1,Hepatocyte,NA
admplpoc-1,admplpoc-1,Hepatocyte,NA
admppfim-1,admppfim-1,Hepatocyte,NA
adnbalek-1,adnbalek-1,Hepatocyte,NA
adnbjkon-1,adnbjkon-1,Hepatocyte,NA
adndfcli-1,adndfcli-1,Hepatocyte,NA
adnefndl-1,adnefndl-1,Hepatocyte,NA
adnekjnm-1,adnekjnm-1,Hepatocyte,NA
adngdnfa-1,adngdnfa-1,Hepatocyte,NA
adngiani-1,adngiani-1,Hepatocyte,NA
adnhbgeb-1,adnhbgeb-1,Hepatocyte,NA
adnhhnff-1,adnhhnff-1,Hepatocyte,NA
adnhmdgb-1,adnhmdgb-1,Hepatocyte,NA
adnhpicf-1,adnhpicf-1,Hepatocyte,NA
adnilnkj-1,adnilnkj-1,Hepatocyte,NA
adnjajkg-1,adnjajkg-1,Hepatocyte,NA
adnkccgf-1,adnkccgf-1,Hepatocyte,NA
adnmbbgp-1,adnmbbgp-1,Necrosis,NA
adnogdln-1,adnogdln-1,Hepatocyte,NA
adnohajl-1,adnohajl-1,Hepatocyte,NA
adoahgje-1,adoahgje-1,Hepatocyte,NA
adobpkhh-1,adobpkhh-1,Hepatocyte,NA
adocmnph-1,adocmnph-1,Hepatocyte,NA
adocnbep-1,adocnbep-1,Hepatocyte,NA
adodjhol-1,adodjhol-1,Hepatocyte,NA
adogkoka-1,adogkoka-1,Hepatocyte,NA
adojdien-1,adojdien-1,Hepatocyte,NA
adojlljn-1,adojlljn-1,Hepatocyte,NA
adokdmfh-1,adokdmfh-1,Hepatocyte,NA
adonhanb-1,adonhanb-1,Hepatocyte,NA
adpabbkj-1,adpabbkj-1,Hepatocyte,NA
adpbcfol-1,adpbcfol-1,Hepatocyte,NA
adpddebb-1,adpddebb-1,Hepatocyte,NA
adpdheao-1,adpdheao-1,Hepatocyte,NA
adpdiaae-1,adpdiaae-1,Hepatocyte,NA
adpelhke-1,adpelhke-1,Hepatocyte,NA
adpfabgi-1,adpfabgi-1,Myeloid,NA
adpgkgdh-1,adpgkgdh-1,Hepatocyte,NA
adpgknhd-1,adpgknhd-1,Hepatocyte,NA
adpgnioa-1,adpgnioa-1,Hepatocyte,NA
adpibnkd-1,adpibnkd-1,Hepatocyte,NA
adpieeik-1,adpieeik-1,Hepatocyte,NA
adpjnbnf-1,adpjnbnf-1,Hepatocyte,NA
adpjobed-1,adpjobed-1,Myeloid,NA
adpnhcgc-1,adpnhcgc-1,Hepatocyte,NA
aeabenhh-1,aeabenhh-1,Cholangiocyte,NA
aeacbojc-1,aeacbojc-1,Lymphocyte,NA
aeaeifab-1,aeaeifab-1,Lymphocyte,NA
aeaephkd-1,aeaephkd-1,Cholangiocyte,NA
aeafmipe-1,aeafmipe-1,Necrosis,NA
aeaibbdf-1,aeaibbdf-1,Hepatocyte,NA
aeaiggnj-1,aeaiggnj-1,Lymphocyte,NA
aeakpdjn-1,aeakpdjn-1,Lymphocyte,NA
aealbiaj-1,aealbiaj-1,Cholangiocyte,NA
aeamnida-1,aeamnida-1,Hepatocyte,NA
aeaohdmc-1,aeaohdmc-1,Hepatocyte,NA
aebajika-1,aebajika-1,Fibroblast,NA
aebbknlg-1,aebbknlg-1,Hepatocyte,NA
aebeckof-1,aebeckof-1,Hepatocyte,NA
aebefhnc-1,aebefhnc-1,Hepatocyte,NA
aebfjiig-1,aebfjiig-1,Hepatocyte,NA
aebfmhnl-1,aebfmhnl-1,Hepatocyte,NA
aebgacem-1,aebgacem-1,Hepatocyte,NA
aebhgefa-1,aebhgefa-1,Hepatocyte,NA
aebifbfm-1,aebifbfm-1,Hepatocyte,NA
aebifmnk-1,aebifmnk-1,Hepatocyte,NA
aebijlam-1,aebijlam-1,Hepatocyte,NA
aebjeffa-1,aebjeffa-1,Lymphocyte,NA
aebndakg-1,aebndakg-1,Hepatocyte,NA
aebodbdj-1,aebodbdj-1,Hepatocyte,NA
aebpbnok-1,aebpbnok-1,Hepatocyte,NA
aecbbjfp-1,aecbbjfp-1,Hepatocyte,NA
aecbjbce-1,aecbjbce-1,Hepatocyte,NA
aecbokpb-1,aecbokpb-1,Necrosis,NA
aeccndil-1,aeccndil-1,Hepatocyte,NA
aecdmnhh-1,aecdmnhh-1,Hepatocyte,NA
aecfbeok-1,aecfbeok-1,Hepatocyte,NA
aecfofpl-1,aecfofpl-1,Hepatocyte,NA
aecgapoo-1,aecgapoo-1,Lymphocyte,NA
aecgmpna-1,aecgmpna-1,Cholangiocyte,NA
aechleem-1,aechleem-1,Lymphocyte,NA
aecijjgo-1,aecijjgo-1,Hepatocyte,NA
aecildoh-1,aecildoh-1,Hepatocyte,NA
aecklkmc-1,aecklkmc-1,Hepatocyte,NA
aeclmipi-1,aeclmipi-1,Hepatocyte,NA
aecmpjap-1,aecmpjap-1,Hepatocyte,NA
aecnffap-1,aecnffap-1,Necrosis,NA
aecnkhdn-1,aecnkhdn-1,Hepatocyte,NA
aecokkni-1,aecokkni-1,Hepatocyte,NA
aedahnco-1,aedahnco-1,Hepatocyte,NA
aedaonjl-1,aedaonjl-1,Hepatocyte,NA
aedbbeac-1,aedbbeac-1,Hepatocyte,NA
aedcekmo-1,aedcekmo-1,Hepatocyte,NA
aedcobac-1,aedcobac-1,Hepatocyte,NA
aedcpjdm-1,aedcpjdm-1,Hepatocyte,NA
aeddobbm-1,aeddobbm-1,Hepatocyte,NA
aededfao-1,aededfao-1,Hepatocyte,NA
aedfbkhf-1,aedfbkhf-1,Hepatocyte,NA
aedfdgnm-1,aedfdgnm-1,Hepatocyte,NA
aedgdhim-1,aedgdhim-1,Hepatocyte,NA
aedhdiep-1,aedhdiep-1,Hepatocyte,NA
aedhfina-1,aedhfina-1,Cholangiocyte,NA
aedhhobb-1,aedhhobb-1,Hepatocyte,NA
aediikka-1,aediikka-1,Cholangiocyte,NA
aedipicm-1,aedipicm-1,Fibroblast,NA
aedjanje-1,aedjanje-1,Cholangiocyte,NA
aedkjlmj-1,aedkjlmj-1,Hepatocyte,NA
aedmngaa-1,aedmngaa-1,Cholangiocyte,NA
aedmnmmf-1,aedmnmmf-1,Hepatocyte,NA
aednbeoa-1,aednbeoa-1,Hepatocyte,NA
aedoalbc-1,aedoalbc-1,Hepatocyte,NA
aedokbfe-1,aedokbfe-1,Hepatocyte,NA
aeebjgdf-1,aeebjgdf-1,Hepatocyte,NA
aeebklne-1,aeebklne-1,Hepatocyte,NA
aeebmnff-1,aeebmnff-1,Hepatocyte,NA
aeeclhlb-1,aeeclhlb-1,Cholangiocyte,NA
aeedomfa-1,aeedomfa-1,Hepatocyte,NA
aeefaooe-1,aeefaooe-1,Cholangiocyte,NA
aeejiieb-1,aeejiieb-1,Cholangiocyte,NA
aeelogdk-1,aeelogdk-1,Hepatocyte,NA
aeemboaf-1,aeemboaf-1,Cholangiocyte,NA
aeemlekh-1,aeemlekh-1,Cholangiocyte,NA
aeemoelg-1,aeemoelg-1,Cholangiocyte,NA
aeendelj-1,aeendelj-1,Cholangiocyte,NA
aeeommcd-1,aeeommcd-1,Hepatocyte,NA
aefacfnk-1,aefacfnk-1,Myeloid,NA
aefcmfal-1,aefcmfal-1,Hepatocyte,NA
aefcpmfp-1,aefcpmfp-1,Hepatocyte,NA
aefdlfhd-1,aefdlfhd-1,Fibroblast,NA
aefeoobj-1,aefeoobj-1,Hepatocyte,NA
aeffecjh-1,aeffecjh-1,Hepatocyte,NA
aeffelap-1,aeffelap-1,Hepatocyte,NA
aeffjfoa-1,aeffjfoa-1,Myeloid,NA
aeffpbkg-1,aeffpbkg-1,Hepatocyte,NA
aefgegla-1,aefgegla-1,Hepatocyte,NA
aefhejgk-1,aefhejgk-1,Hepatocyte,NA
aefihejf-1,aefihejf-1,Lymphocyte,NA
aefkalmk-1,aefkalmk-1,Hepatocyte,NA
aefknbem-1,aefknbem-1,Hepatocyte,NA
aeflminj-1,aeflminj-1,Hepatocyte,NA
aeflomjb-1,aeflomjb-1,Cholangiocyte,NA
aefpljai-1,aefpljai-1,Hepatocyte,NA
aegaegho-1,aegaegho-1,Cholangiocyte,NA
aegaomcd-1,aegaomcd-1,Hepatocyte,NA
aegchhnh-1,aegchhnh-1,Cholangiocyte,NA
aegeammj-1,aegeammj-1,Hepatocyte,NA
aegfijgj-1,aegfijgj-1,Cholangiocyte,NA
aegfkknp-1,aegfkknp-1,Hepatocyte,NA
aegflbpc-1,aegflbpc-1,Cholangiocyte,NA
aegflnoo-1,aegflnoo-1,Hepatocyte,NA
aegfnpeg-1,aegfnpeg-1,Hepatocyte,NA
aeghgpkb-1,aeghgpkb-1,Cholangiocyte,NA
aegiahfa-1,aegiahfa-1,Unknown,NA
