"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","pretty"
"1","Organliver",10.224226727471,4.42960637090858,2.30815694925368,0.0292026887840478,1.1190404304684,19.3294130244736,"Organ: liver"
"2","Organlung",23.3141465913222,7.99038257042624,2.91777601207879,0.00717895369919617,6.88967999179212,39.7386131908522,"Organ: lung"
"3","KRAS_mutYes",7.36609142130135,4.75828195457817,1.54805694400141,0.133695903574709,-2.41469721369724,17.1468800562999,"KRAS mut: Yes"
"4","Tx_in_6mo1",2.44252445391758,4.32769960614732,0.564393251890236,0.577323568370295,-6.4531894881214,11.3382383959566,"Tx in 6 mo: 1"
"5","SexF",-3.72231634777436,4.07732938621176,-0.912930007656989,0.369667579972407,-12.1033869321763,4.65875423662758,"Sex: F"
"6","RaceAfrican American",-1.15988946168335,6.40247021989276,-0.181162804643671,0.857644652347496,-14.3203554787072,12.0005765553405,"Race: African American"
