#Selection name: Selection 1
#Area (µm^2): 4868031.97
Cell ID,Cluster,Transcripts,Area (µm^2)
kgbfjfep-1,Cluster 23,0,74.85
kgbffikm-1,Cluster 2,0,52.74
kgcjicbc-1,Cluster 10,0,112.35
cnkiiead-1,Cluster 23,0,111.68
cnkffhdc-1,Cluster 2,0,70.94
cnkhipoh-1,Cluster 9,0,65.96
kgcjjmni-1,Cluster 1,0,59.72
kgcdfohf-1,Cluster 17,0,51.93
kgcfbcbe-1,Cluster 17,0,38.45
kgcekeib-1,Cluster 17,0,84.05
kgcjaanc-1,Cluster 2,0,36.12
kgcinajk-1,Cluster 2,0,66.61
kgciiabh-1,Cluster 2,0,70.16
kgciljdg-1,Cluster 2,0,56.63
kgccbpeg-1,Cluster 23,0,11.59
kgcjdgmm-1,Cluster 10,0,42.01
kgbggonh-1,Cluster 10,0,90.58
kgcicjio-1,Cluster 23,0,132.86
cnkmnohd-1,Cluster 1,0,58.47
kgcflbbd-1,Cluster 10,0,142.20
cnkkglge-1,Cluster 23,0,75.42
cnkleolf-1,Cluster 23,0,84.43
cnkocllc-1,Cluster 23,0,43.20
kgbfpgce-1,Cluster 23,0,55.61
cnkjpokj-1,Cluster 2,0,97.76
kgcibdpp-1,Cluster 10,0,96.21
cnknhiop-1,Cluster 2,0,101.31
kgclfeaa-1,Cluster 10,0,168.28
odhfncpm-1,Cluster 10,0,153.36
kgbfcpah-1,Cluster 10,0,64.38
kgbepnki-1,Cluster 4,0,40.49
cnldbflh-1,Cluster 23,0,81.52
odhailmd-1,Cluster 4,0,6.92
odhamdbd-1,Cluster 23,0,191.40
odhalapd-1,Cluster 3,0,25.35
kgajajnd-1,Cluster 17,0,114.23
kgbjhdnd-1,Cluster 10,0,103.20
kgbgehjh-1,Cluster 10,0,201.53
kgcfpckc-1,Cluster 17,0,32.71
kgbfpoaj-1,Cluster 23,0,67.61
kgakcjjo-1,Cluster 23,0,98.30
kgcgicpi-1,Cluster 23,0,18.99
kgbinhel-1,Cluster 10,0,54.47
kgcndoee-1,Cluster 2,0,92.10
kgcgafgj-1,Cluster 17,0,84.30
kgbgkkll-1,Cluster 23,0,26.19
kgajgeaf-1,Cluster 10,0,57.82
kgakjael-1,Cluster 23,0,140.13
kgchfagg-1,Cluster 17,0,43.63
kgcmblnn-1,Cluster 17,0,41.74
kgbkihcj-1,Cluster 10,0,125.24
kgakkfea-1,Cluster 23,0,159.05
cnlcncob-1,Cluster 23,0,40.04
kgbkbili-1,Cluster 2,0,66.72
cnkbnbod-1,Cluster 23,0,106.59
cnkdhcij-1,Cluster 23,0,73.47
kgakebji-1,Cluster 10,0,107.09
kgbinpgl-1,Cluster 2,0,91.85
kgaiiomf-1,Cluster 17,0,122.23
kgbjfmdk-1,Cluster 23,0,123.33
cnkdgilc-1,Cluster 23,0,89.54
cnkchaoc-1,Cluster 2,0,32.73
cnlbgaco-1,Cluster 23,0,93.00
kgbihbfe-1,Cluster 10,0,67.45
kgakemkm-1,Cluster 2,0,38.97
kgakaegf-1,Cluster 4,0,28.20
cnjjfflh-1,Cluster 23,0,66.06
cnjlkncd-1,Cluster 23,0,252.19
kgalpfhl-1,Cluster 23,0,19.51
kgambpec-1,Cluster 23,0,123.41
cnkplaba-1,Cluster 23,0,104.85
cnkonaia-1,Cluster 23,0,70.08
cnlaedpn-1,Cluster 23,0,93.52
cnlapmoh-1,Cluster 23,0,84.46
kgajpkcj-1,Cluster 23,0,120.45
kgalkalf-1,Cluster 10,0,103.69
cnjmpane-1,Cluster 23,0,70.18
cnjkbdao-1,Cluster 23,0,75.61
cnjmmnne-1,Cluster 23,0,79.63
cnjmokcc-1,Cluster 23,0,98.04
cnjmjkla-1,Cluster 23,0,45.01
cnjkcnof-1,Cluster 23,0,125.12
cnjjloan-1,Cluster 23,0,99.22
cnjnffof-1,Cluster 23,0,68.53
cnjmoicn-1,Cluster 23,0,112.09
kgcnjggo-1,Cluster 23,0,17.94
cnlffdcp-1,Cluster 2,0,157.36
cnlfkgfo-1,Cluster 9,0,60.30
kgbnackf-1,Cluster 10,0,60.84
kgbhbeio-1,Cluster 23,0,72.56
cnlfkapi-1,Cluster 1,0,41.27
cnkoleij-1,Cluster 19,0,105.60
kgbmfoif-1,Cluster 1,0,15.48
cnldpkeg-1,Cluster 23,0,79.75
kgbicojd-1,Cluster 23,0,53.64
kgblfccd-1,Cluster 10,0,70.95
kgbifgff-1,Cluster 23,0,93.07
kgbhblmb-1,Cluster 17,0,39.11
kgblkhcd-1,Cluster 2,0,13.37
kgbicihe-1,Cluster 23,0,66.25
cnldjhmm-1,Cluster 23,0,68.27
cnlebjgg-1,Cluster 23,0,116.95
kfpoipde-1,Cluster 23,0,119.88
cnlgcfdj-1,Cluster 23,0,109.01
kgcnheid-1,Cluster 23,0,28.43
cnlhjagn-1,Cluster 23,0,70.65
kfpoenme-1,Cluster 23,0,100.86
cnlihing-1,Cluster 23,0,24.07
kfpnoplj-1,Cluster 23,0,17.19
kfpoijjd-1,Cluster 23,0,152.06
cnlhhmmn-1,Cluster 23,0,64.45
cnlgpjop-1,Cluster 23,0,45.98
kfpnjkfg-1,Cluster 23,0,54.93
kgbmikhc-1,Cluster 10,0,68.63
cnlemgjn-1,Cluster 9,0,60.31
cnkopmjb-1,Cluster 23,0,64.51
kgbhpdoi-1,Cluster 10,0,79.86
kgaaipdl-1,Cluster 23,0,89.35
kgafohbg-1,Cluster 23,0,98.35
cnjkdfmg-1,Cluster 23,0,48.25
cnlgcbad-1,Cluster 23,0,110.74
odhhgcol-1,Cluster 23,0,148.35
cnjpiboj-1,Cluster 23,0,72.81
cnlhdjjc-1,Cluster 23,0,81.08
