#Selection name: Selection 1
#Area (µm^2): 6012318.85
Cell ID,Cluster,Transcripts,Area (µm^2)
dcbbbpfi-1,Cluster 23,0,35.69
jbgbllbo-1,Cluster 3,0,71.28
jcohhgpk-1,Cluster 20,0,47.59
dcamiidf-1,Cluster 22,0,114.22
dcbaegfi-1,Cluster 6,0,34.85
jcofcgmm-1,Cluster 6,0,73.72
dcbbceog-1,Cluster 3,0,153.61
dcacnece-1,Cluster 11,0,44.53
dbneopch-1,Cluster 4,0,48.56
idmgemme-1,Cluster 12,0,24.60
idmapfpd-1,Cluster 5,0,16.31
bnnjilon-1,Cluster 3,0,154.09
dbnhjcgi-1,Cluster 3,0,130.57
idomongb-1,Cluster 18,0,15.07
jcokmipp-1,Cluster 6,0,196.01
jbfpagme-1,Cluster 6,0,14.96
jbfodnmg-1,Cluster 3,0,29.72
dcakjlej-1,Cluster 6,0,50.73
idmepgfh-1,Cluster 3,0,73.21
dcanjjge-1,Cluster 3,0,70.47
bnnddkcp-1,Cluster 3,0,220.84
bnnhnjhm-1,Cluster 3,0,179.45
dbninahl-1,Cluster 3,0,248.99
janiejbo-1,Cluster 2,0,44.68
dcjbgcih-1,Cluster 2,0,38.98
jdffodnp-1,Cluster 11,0,90.80
jdeeahbi-1,Cluster 2,0,23.32
jdcimmdm-1,Cluster 11,0,33.81
dcjabeon-1,Cluster 2,0,25.01
dcipebbe-1,Cluster 2,0,30.72
jdcilolf-1,Cluster 7,0,23.50
jckkieoc-1,Cluster 2,0,16.54
dcilmeom-1,Cluster 2,0,57.08
jcknfogj-1,Cluster 2,0,38.20
jckkpgao-1,Cluster 2,0,21.77
obacppjd-1,Cluster 12,0,22.78
dcioomfj-1,Cluster 11,0,76.35
obacejnm-1,Cluster 12,0,108.13
jdfhjmme-1,Cluster 2,0,52.31
janomnge-1,Cluster 17,0,33.29
oaofpnbi-1,Cluster 9,0,20.43
dcikmaoc-1,Cluster 2,0,62.16
jdfjiiko-1,Cluster 16,0,20.83
jcmngmjh-1,Cluster 2,0,28.71
janmjheg-1,Cluster 23,0,32.18
janihfda-1,Cluster 2,0,80.88
jamjilal-1,Cluster 11,0,43.61
dcjdfiel-1,Cluster 3,0,250.29
dcijicfk-1,Cluster 2,0,44.75
obadagao-1,Cluster 5,0,35.60
dcijejde-1,Cluster 2,0,45.42
dcjebjbp-1,Cluster 2,0,47.98
jamjenai-1,Cluster 11,0,124.44
dcjbnobg-1,Cluster 2,0,38.41
jckliblj-1,Cluster 11,0,58.60
dchkjgdl-1,Cluster 2,0,37.85
jclaacfe-1,Cluster 7,0,73.71
dbnmhbnh-1,Cluster 3,0,143.51
dcabegfi-1,Cluster 11,0,70.72
dcacpple-1,Cluster 11,0,74.92
oaoacbjd-1,Cluster 18,0,5.12
dbnkijje-1,Cluster 23,0,24.52
dbnmjiff-1,Cluster 11,0,98.01
dbnnnoig-1,Cluster 3,0,148.17
dbniolgm-1,Cluster 4,0,95.94
obaapojh-1,Cluster 14,0,20.69
jdcopgbd-1,Cluster 11,0,15.83
jangcmkm-1,Cluster 22,0,28.68
janelhig-1,Cluster 2,0,27.45
janfjpkf-1,Cluster 2,0,51.26
janpdkjp-1,Cluster 2,0,81.29
jannlnma-1,Cluster 23,0,66.38
janmdldn-1,Cluster 2,0,16.13
dchfedam-1,Cluster 3,0,150.64
dchdnckh-1,Cluster 4,0,294.87
dchfeanp-1,Cluster 3,0,164.13
janldgid-1,Cluster 3,0,255.33
dcjaegje-1,Cluster 3,0,93.93
dchkleah-1,Cluster 3,0,261.57
dcjcmphf-1,Cluster 11,0,161.99
dchimjcb-1,Cluster 11,0,161.88
jaiegbpb-1,Cluster 8,0,16.51
oanfndah-1,Cluster 14,0,31.34
jbbghiph-1,Cluster 3,0,165.80
jbbgdpak-1,Cluster 5,0,14.76
jaijkpgn-1,Cluster 2,0,43.90
jaigpdjn-1,Cluster 2,0,36.21
jaiobjpm-1,Cluster 12,0,49.67
jaioidlo-1,Cluster 2,0,63.37
oanbcdci-1,Cluster 12,0,17.24
jbbhdcje-1,Cluster 6,0,46.90
janclohe-1,Cluster 12,0,36.87
jailaodm-1,Cluster 2,0,64.09
dchhnped-1,Cluster 2,0,52.32
janciiik-1,Cluster 13,0,51.03
jailhhfh-1,Cluster 2,0,26.59
dchibomn-1,Cluster 2,0,40.89
dcgnoodg-1,Cluster 11,0,75.15
jaiplglb-1,Cluster 2,0,51.78
oanhhlab-1,Cluster 12,0,44.29
jajakoko-1,Cluster 18,0,8.43
jaglknbh-1,Cluster 8,0,16.21
jajefkjl-1,Cluster 9,0,51.83
jaippmna-1,Cluster 9,0,26.33
jajdonkc-1,Cluster 9,0,18.73
jaglogpi-1,Cluster 2,0,32.24
dcgoaoam-1,Cluster 11,0,80.38
jagnanbc-1,Cluster 2,0,43.83
jagljnaj-1,Cluster 2,0,63.02
oanabldp-1,Cluster 14,0,15.97
jagkeenh-1,Cluster 16,0,37.78
jaiahghm-1,Cluster 12,0,38.99
jaijhkej-1,Cluster 12,0,32.94
jalaokcb-1,Cluster 12,0,46.94
jaignjme-1,Cluster 12,0,16.29
oaoafggh-1,Cluster 12,0,43.48
jaigkbjg-1,Cluster 5,0,29.50
jamopjlg-1,Cluster 7,0,38.64
jaigaici-1,Cluster 2,0,13.60
janchlkd-1,Cluster 7,0,70.37
janklpen-1,Cluster 12,0,19.98
jankfnpi-1,Cluster 2,0,60.08
janbmfgi-1,Cluster 12,0,10.85
janbdome-1,Cluster 12,0,22.31
janglfno-1,Cluster 14,0,16.26
janjelln-1,Cluster 12,0,38.33
jajfjlkk-1,Cluster 12,0,29.11
oanhlnem-1,Cluster 12,0,16.39
oanelfjk-1,Cluster 9,0,79.68
jajaioga-1,Cluster 12,0,9.03
oaneiddl-1,Cluster 14,0,22.09
oanemdag-1,Cluster 23,0,40.12
oancgpbb-1,Cluster 14,0,22.06
oanjimdl-1,Cluster 14,0,53.23
oaneaagk-1,Cluster 14,0,17.51
jaicfcoj-1,Cluster 23,0,36.27
jakpfkpe-1,Cluster 6,0,250.02
jaicdkji-1,Cluster 15,0,7.97
jaieedfg-1,Cluster 7,0,31.27
jaiagkdc-1,Cluster 12,0,35.92
bnobgmic-1,Cluster 23,0,35.52
dcibflhf-1,Cluster 23,0,25.83
jaooldfc-1,Cluster 14,0,13.74
jaogbcdg-1,Cluster 14,0,14.98
jclcjing-1,Cluster 7,0,43.83
jclmdhgi-1,Cluster 7,0,71.59
jclmadgn-1,Cluster 9,0,11.09
jcllcphl-1,Cluster 9,0,15.71
oanlplfn-1,Cluster 9,0,13.05
dbnhifih-1,Cluster 3,0,185.16
dbnahibi-1,Cluster 3,0,118.63
dbnafnek-1,Cluster 4,0,41.65
dbmnlkfc-1,Cluster 3,0,108.08
jdcoonii-1,Cluster 5,0,12.39
dbnclmlj-1,Cluster 3,0,60.41
dbnielol-1,Cluster 4,0,220.62
dbmodfhg-1,Cluster 3,0,108.85
jclcockk-1,Cluster 2,0,22.22
jckppnlb-1,Cluster 18,0,5.51
jaoelnif-1,Cluster 9,0,22.49
jckopjfl-1,Cluster 2,0,26.18
jaldgjgo-1,Cluster 7,0,49.66
dchnhngf-1,Cluster 12,0,48.14
dchnamlk-1,Cluster 7,0,39.19
jaoacjcn-1,Cluster 14,0,6.29
jaonfmof-1,Cluster 18,0,15.64
jaojfnmb-1,Cluster 14,0,30.88
jclfamka-1,Cluster 7,0,31.33
dcicedjh-1,Cluster 23,0,39.45
jclkpnff-1,Cluster 3,0,90.15
dcideljd-1,Cluster 12,0,37.47
jaoofpma-1,Cluster 14,0,12.78
japlnepa-1,Cluster 12,0,26.38
jbaagcmj-1,Cluster 14,0,15.03
oaofhhap-1,Cluster 23,0,24.29
japjkcla-1,Cluster 14,0,25.50
japklkpm-1,Cluster 14,0,15.24
bnngllpo-1,Cluster 12,0,44.95
bnngbimg-1,Cluster 23,0,34.91
oaoakapn-1,Cluster 23,0,15.66
bnnjjkni-1,Cluster 23,0,46.05
oaodkmic-1,Cluster 23,0,23.48
dbnikobm-1,Cluster 3,0,150.08
jaofhmnb-1,Cluster 14,0,18.47
japioclc-1,Cluster 18,0,15.04
jaoijpol-1,Cluster 18,0,12.59
jaokdgci-1,Cluster 14,0,21.91
jaoeedib-1,Cluster 14,0,17.08
jaobghpm-1,Cluster 5,0,14.61
jaomohko-1,Cluster 14,0,6.67
dciemodf-1,Cluster 23,0,33.91
bnnachkp-1,Cluster 23,0,34.53
dciaklel-1,Cluster 23,0,28.29
jaoelfik-1,Cluster 12,0,8.36
bnoambmo-1,Cluster 23,0,28.50
bnnofplo-1,Cluster 23,0,38.57
japopmhj-1,Cluster 9,0,9.46
bnnhgbhj-1,Cluster 23,0,37.47
bnneoili-1,Cluster 23,0,44.52
jbaahjfe-1,Cluster 23,0,13.44
bnnnmnec-1,Cluster 23,0,35.38
oaodhikl-1,Cluster 21,0,16.85
oaocgbml-1,Cluster 12,0,48.62
