#Selection name: Selection 1
#Area (µm^2): 1396929.89
Cell ID,Cluster,Transcripts,Area (µm^2)
famoogcn-1,Cluster 2,0,112.99
fangbicl-1,Cluster 2,0,51.99
nnkegdbf-1,Cluster 2,0,47.93
fanfbmkc-1,Cluster 5,0,41.03
colpjinm-1,Cluster 4,0,86.70
fandbmno-1,Cluster 2,0,428.27
conlmegn-1,Cluster 2,0,121.56
coocekif-1,Cluster 2,0,207.55
conmgedb-1,Cluster 5,0,23.92
coofaipn-1,Cluster 4,0,44.73
coogbnpo-1,Cluster 4,0,210.27
coogbeol-1,Cluster 2,0,77.68
conpoibm-1,Cluster 4,0,66.62
conpbbeh-1,Cluster 5,0,44.21
fannnidh-1,Cluster 9,0,23.74
conppkla-1,Cluster 4,0,116.87
coobhkpo-1,Cluster 4,0,64.69
connfjan-1,Cluster 4,0,46.54
cooajfef-1,Cluster 2,0,158.20
cooahodk-1,Cluster 4,0,114.58
cooepnio-1,Cluster 4,0,107.72
cooflfbb-1,Cluster 4,0,265.72
cooajlda-1,Cluster 17,0,169.43
coobhgpp-1,Cluster 4,0,33.37
coogiefd-1,Cluster 2,0,187.29
conlnnki-1,Cluster 17,0,133.27
famiolke-1,Cluster 5,0,52.78
copcdnji-1,Cluster 4,0,53.41
copdpkpg-1,Cluster 8,0,71.08
copecoda-1,Cluster 5,0,38.07
copcbmmn-1,Cluster 2,0,70.09
coocdnag-1,Cluster 2,0,57.76
faogbdkl-1,Cluster 4,0,138.32
cooebmpd-1,Cluster 4,0,99.22
copdmbcg-1,Cluster 10,0,72.43
faogbmef-1,Cluster 9,0,60.85
copfgden-1,Cluster 4,0,44.98
faoeniff-1,Cluster 5,0,104.37
famjfgmf-1,Cluster 9,0,20.00
copgefei-1,Cluster 5,0,70.67
faofkocl-1,Cluster 5,0,50.39
coocbmfp-1,Cluster 2,0,60.13
copgbkkp-1,Cluster 4,0,30.40
copdlohp-1,Cluster 4,0,58.82
compmbni-1,Cluster 2,0,84.57
fanolhgh-1,Cluster 4,0,96.95
comnfpae-1,Cluster 4,0,30.81
commfogh-1,Cluster 4,0,99.00
fanndbpd-1,Cluster 4,0,43.29
fanobchn-1,Cluster 4,0,103.43
famockfe-1,Cluster 2,0,55.58
fanmocni-1,Cluster 4,0,70.46
conpnhmk-1,Cluster 5,0,56.39
faobljpl-1,Cluster 5,0,45.46
faocghbc-1,Cluster 2,0,70.13
faoadnog-1,Cluster 24,0,38.63
faoahmko-1,Cluster 24,0,38.02
fanolhci-1,Cluster 12,0,50.59
fanodomn-1,Cluster 7,0,28.90
comlhkon-1,Cluster 2,0,137.34
fanpngdj-1,Cluster 12,0,49.24
comkcohp-1,Cluster 17,0,206.90
fanoihed-1,Cluster 7,0,41.84
copgdpaj-1,Cluster 2,0,83.13
faoflcpe-1,Cluster 5,0,56.19
faofijhh-1,Cluster 5,0,177.48
copgepdn-1,Cluster 5,0,105.59
copgokdi-1,Cluster 5,0,50.48
copofobj-1,Cluster 2,0,115.46
cophiogc-1,Cluster 2,0,196.26
copgpabg-1,Cluster 4,0,210.41
copgojlo-1,Cluster 2,0,152.07
copojkjl-1,Cluster 2,0,65.27
copemieh-1,Cluster 4,0,313.59
copedcpp-1,Cluster 2,0,238.50
comohlod-1,Cluster 2,0,187.11
comolgog-1,Cluster 2,0,133.66
comolhcd-1,Cluster 2,0,49.70
comjigpe-1,Cluster 2,0,133.63
comkbpea-1,Cluster 5,0,28.45
faomfeln-1,Cluster 2,0,112.67
coolcagi-1,Cluster 6,0,50.40
copldpeb-1,Cluster 5,0,45.39
copkndge-1,Cluster 2,0,40.35
fapanhop-1,Cluster 5,0,87.17
faomgoam-1,Cluster 5,0,45.89
faoolnac-1,Cluster 6,0,143.66
faomkmol-1,Cluster 8,0,40.47
faomgpfc-1,Cluster 9,0,15.58
fapakknp-1,Cluster 8,0,107.67
cpabeimm-1,Cluster 5,0,98.48
cpaagcco-1,Cluster 5,0,71.04
faophkcb-1,Cluster 5,0,168.57
faoploag-1,Cluster 5,0,35.91
coplkojf-1,Cluster 10,0,51.67
copnejmh-1,Cluster 10,0,101.69
copljkjp-1,Cluster 2,0,53.07
faoknfin-1,Cluster 5,0,123.84
faonfhgo-1,Cluster 6,0,23.67
cpamgmdp-1,Cluster 10,0,68.68
faomlmcp-1,Cluster 5,0,31.38
cpanaibm-1,Cluster 10,0,42.11
coologgi-1,Cluster 5,0,76.34
coollefa-1,Cluster 2,0,116.45
copkjidk-1,Cluster 4,0,59.03
coomcdji-1,Cluster 5,0,32.33
fapejghm-1,Cluster 2,0,116.13
fapekcbb-1,Cluster 5,0,39.76
faoogpob-1,Cluster 5,0,21.50
faonnlko-1,Cluster 5,0,73.12
copicknm-1,Cluster 5,0,37.55
fammdlhn-1,Cluster 5,0,24.19
faockign-1,Cluster 4,0,144.54
famlnfea-1,Cluster 4,0,120.97
famkdfhe-1,Cluster 4,0,86.57
faminkmh-1,Cluster 4,0,98.34
famlaggp-1,Cluster 4,0,141.83
famkmeap-1,Cluster 5,0,28.30
coppajeb-1,Cluster 5,0,80.10
copopnpe-1,Cluster 2,0,84.45
coppnppo-1,Cluster 2,0,111.28
copolmei-1,Cluster 2,0,172.78
