#Selection name: Selection 1
#Area (µm^2): 12614311.61
Cell ID,Cluster,Transcripts,Area (µm^2)
alojpcmh-1,Cluster 1,0,34.27
alpbajgj-1,Cluster 13,0,89.33
aloppfee-1,Cluster 15,0,146.59
alojmefa-1,Cluster 13,0,63.76
alokknfi-1,Cluster 11,0,111.45
jklmjcnb-1,Cluster 21,0,75.63
amanemog-1,Cluster 7,0,45.35
ambblaoe-1,Cluster 5,0,62.46
jknkccok-1,Cluster 1,0,23.82
ambbhgop-1,Cluster 7,0,89.13
jknhjple-1,Cluster 2,0,67.18
amanidln-1,Cluster 15,0,331.15
amaklflp-1,Cluster 11,0,40.12
jknioich-1,Cluster 1,0,23.64
amcijdgn-1,Cluster 11,0,63.04
allgokhe-1,Cluster 11,0,90.22
alpcnacc-1,Cluster 5,0,34.17
jkmleohg-1,Cluster 7,0,197.32
alljigdm-1,Cluster 13,0,91.39
alnfapoh-1,Cluster 2,0,48.07
alnemipl-1,Cluster 2,0,61.16
alljbggb-1,Cluster 13,0,45.21
amaamdao-1,Cluster 5,0,36.95
jkmicnpd-1,Cluster 5,0,39.85
jkmjbojd-1,Cluster 5,0,37.99
allihdec-1,Cluster 7,0,75.94
allklalc-1,Cluster 11,0,83.51
almaddhe-1,Cluster 11,0,151.24
almaeohn-1,Cluster 13,0,17.01
allhpefj-1,Cluster 13,0,91.08
allpeddn-1,Cluster 1,0,33.75
jkmkpihn-1,Cluster 7,0,128.90
obpfdgla-1,Cluster 2,0,111.68
jkmlomnl-1,Cluster 12,0,27.04
allojlnj-1,Cluster 11,0,258.38
allnafei-1,Cluster 13,0,85.48
amaigaae-1,Cluster 15,0,137.33
amaedjhn-1,Cluster 13,0,28.82
amajkbbk-1,Cluster 5,0,54.25
alpplfmh-1,Cluster 5,0,45.42
amafmlkm-1,Cluster 13,0,25.72
ambbmbpn-1,Cluster 6,0,64.37
ambcbcim-1,Cluster 4,0,80.32
amaejjih-1,Cluster 13,0,28.59
jknjjnfo-1,Cluster 5,0,32.20
amaippkd-1,Cluster 7,0,42.96
alpddbmk-1,Cluster 5,0,24.19
jkngddhl-1,Cluster 1,0,27.08
jknjiifg-1,Cluster 2,0,34.66
amdclkmd-1,Cluster 11,0,28.32
alpckagl-1,Cluster 6,0,143.70
jknfgcgp-1,Cluster 2,0,41.84
jkmbmbpj-1,Cluster 7,0,69.24
jkngmmak-1,Cluster 1,0,13.49
alpejpdj-1,Cluster 15,0,129.11
almeklmk-1,Cluster 13,0,27.05
alpfpbnh-1,Cluster 5,0,67.84
allelmgm-1,Cluster 4,0,128.65
alphahjm-1,Cluster 15,0,151.80
allgabbk-1,Cluster 5,0,89.53
allfpmab-1,Cluster 11,0,93.06
alpfebpk-1,Cluster 7,0,97.43
allfgpgi-1,Cluster 11,0,191.28
alpfddgf-1,Cluster 7,0,44.42
alpfohgh-1,Cluster 7,0,54.19
oebkmdpo-1,Cluster 2,0,217.67
almbalhj-1,Cluster 1,0,107.27
oeblofce-1,Cluster 2,0,151.86
odhaogcb-1,Cluster 2,0,129.13
odhbcogb-1,Cluster 2,0,146.67
almalgia-1,Cluster 13,0,62.49
hgejkgjm-1,Cluster 2,0,7.81
jkmkpbfl-1,Cluster 15,0,130.47
amcmmbcb-1,Cluster 15,0,63.09
kgkajjad-1,Cluster 11,0,67.11
alpielce-1,Cluster 15,0,86.58
jknenbeh-1,Cluster 2,0,28.57
amdboofl-1,Cluster 15,0,122.56
jkmcmcne-1,Cluster 2,0,59.98
jknfigkj-1,Cluster 1,0,20.25
jkmefgnh-1,Cluster 2,0,18.01
amcnpcnn-1,Cluster 13,0,51.04
jkmdajbn-1,Cluster 2,0,22.99
amblbhgb-1,Cluster 1,0,30.99
kghmfoco-1,Cluster 2,0,136.52
amchahaf-1,Cluster 15,0,191.76
amcihila-1,Cluster 7,0,70.84
amcngbbp-1,Cluster 15,0,74.79
amcckpna-1,Cluster 7,0,144.57
amcmhghn-1,Cluster 11,0,25.42
amblnned-1,Cluster 6,0,92.66
kgknmhff-1,Cluster 1,0,4.55
obpggiog-1,Cluster 2,0,111.74
kgkafmoo-1,Cluster 1,0,6.46
kgjnlooi-1,Cluster 13,0,83.82
amchcgjj-1,Cluster 2,0,39.59
amckilam-1,Cluster 15,0,79.76
odgpnipb-1,Cluster 2,0,12.59
amcjnigm-1,Cluster 2,0,54.58
kgkmaokp-1,Cluster 2,0,74.48
odhiiima-1,Cluster 1,0,56.09
kgkkihib-1,Cluster 2,0,131.95
kgkmebcd-1,Cluster 1,0,47.89
odgdkimg-1,Cluster 2,0,186.65
kgjcjjjl-1,Cluster 2,0,67.59
kgihalcn-1,Cluster 2,0,68.35
kgigbpkm-1,Cluster 2,0,37.75
kgihiboc-1,Cluster 2,0,45.47
kgikaice-1,Cluster 1,0,37.83
kgifkkao-1,Cluster 2,0,102.22
ambcghad-1,Cluster 2,0,56.80
odhefmog-1,Cluster 2,0,154.54
ambcgefd-1,Cluster 2,0,78.60
kgkamlpk-1,Cluster 1,0,16.28
kginfflc-1,Cluster 2,0,100.05
kgimnofn-1,Cluster 2,0,39.85
kgjcjpag-1,Cluster 2,0,142.63
kgijaboh-1,Cluster 2,0,80.55
kgimhdif-1,Cluster 2,0,42.39
kgjdppof-1,Cluster 2,0,78.74
ambcdlgn-1,Cluster 8,0,40.74
kgihccgn-1,Cluster 2,0,63.12
kghccbpm-1,Cluster 9,0,68.75
odghmcig-1,Cluster 1,0,111.88
odghgaaa-1,Cluster 1,0,119.24
odhckpgg-1,Cluster 2,0,103.59
odhiakfi-1,Cluster 1,0,124.81
kgkcgikg-1,Cluster 1,0,29.93
odhfbieb-1,Cluster 1,0,95.65
kgkmjdma-1,Cluster 1,0,26.32
kgkpichf-1,Cluster 1,0,49.80
kgkpcneb-1,Cluster 2,0,71.72
odgjpdje-1,Cluster 1,0,143.36
odgkdcdo-1,Cluster 1,0,104.84
odggeonb-1,Cluster 1,0,90.06
odgghfne-1,Cluster 2,0,150.73
kgjiodcl-1,Cluster 2,0,28.02
odgglfag-1,Cluster 2,0,218.61
odgjaohf-1,Cluster 1,0,163.69
odgglmpi-1,Cluster 1,0,60.82
bggpilcl-1,Cluster 10,0,86.11
jhkdjcid-1,Cluster 1,0,36.62
obmaolfb-1,Cluster 1,0,55.81
jhkdbgpc-1,Unassigned,0,7.17
jhkenabh-1,Cluster 11,0,53.78
jhkeepfh-1,Cluster 10,0,107.95
jhkeegbl-1,Cluster 10,0,132.68
jhjpdpaa-1,Cluster 10,0,50.05
bghaphmb-1,Cluster 10,0,65.24
jhkblfmf-1,Cluster 10,0,42.52
jhkanemj-1,Cluster 10,0,48.06
bghaeljn-1,Cluster 10,0,77.48
jhjpiclk-1,Cluster 5,0,17.60
bgglofie-1,Cluster 10,0,60.43
jhkbiaoh-1,Cluster 10,0,53.19
jhkgmaad-1,Cluster 10,0,132.99
jhkegkil-1,Cluster 5,0,71.38
obmaamhe-1,Cluster 11,0,46.52
jhkhjdgk-1,Cluster 10,0,89.79
jhkhdgdp-1,Cluster 10,0,92.94
bghcajfl-1,Cluster 10,0,53.49
jhkiedec-1,Cluster 10,0,57.01
jhjlebgc-1,Cluster 10,0,48.32
jhjjhcbh-1,Cluster 5,0,84.59
jhjimamh-1,Cluster 4,0,126.64
jhjkemke-1,Cluster 5,0,74.16
bghclgid-1,Cluster 4,0,95.53
jhjkfoep-1,Cluster 7,0,196.02
bgheikfd-1,Cluster 10,0,165.51
bghebicf-1,Cluster 11,0,105.13
bggkpodo-1,Cluster 10,0,86.71
bgggjckb-1,Cluster 4,0,108.98
bgggcncf-1,Cluster 10,0,61.39
jhjkcifj-1,Cluster 4,0,118.34
obmahdlk-1,Cluster 8,0,4.60
bggheohh-1,Cluster 4,0,99.38
bgghfopb-1,Cluster 10,0,52.94
jhioeimf-1,Cluster 10,0,259.85
jhiokbha-1,Cluster 10,0,113.32
jnmdmhjg-1,Cluster 16,0,32.39
kkdegfhp-1,Cluster 1,0,45.35
kcafpimh-1,Cluster 2,0,50.27
kcciakkg-1,Cluster 2,0,97.22
