#Selection name: Selection 1
#Area (µm^2): 8183508.86
Cell ID,Cluster,Transcripts,Area (µm^2)
khhjiglg-1,Cluster 1,0,11.21
khhjjaic-1,Cluster 3,0,32.48
khhkhgip-1,Cluster 18,0,59.72
kleiafgj-1,Cluster 13,0,30.34
agfdinpd-1,Cluster 3,0,130.08
klfcgkfk-1,Cluster 9,0,36.26
kleobmbc-1,Cluster 6,0,17.16
kleoblco-1,Cluster 9,0,42.07
oeijlmmn-1,Cluster 6,0,18.39
klfaojpj-1,Cluster 6,0,80.08
klfanfnc-1,Cluster 9,0,34.37
kleokped-1,Cluster 6,0,52.67
klfahnmj-1,Cluster 22,0,62.38
klfanelf-1,Cluster 9,0,48.48
klfafppo-1,Cluster 22,0,57.00
klepoill-1,Cluster 22,0,77.72
kldoghmi-1,Cluster 5,0,23.89
klfahdpd-1,Cluster 6,0,26.50
klfafoaj-1,Cluster 22,0,67.11
klfaecca-1,Cluster 6,0,43.54
kldofhjm-1,Cluster 12,0,46.70
agfappbf-1,Cluster 13,0,84.02
agfapbkj-1,Cluster 1,0,36.41
klffaeal-1,Cluster 13,0,80.97
klfcgmle-1,Cluster 13,0,247.29
klfbilnk-1,Cluster 3,0,52.28
aghjnceg-1,Cluster 3,0,116.38
kleicpog-1,Cluster 5,0,10.72
aghjhkco-1,Cluster 13,0,28.92
klfbljno-1,Cluster 13,0,54.59
aghjmfpb-1,Cluster 3,0,69.10
klfefocf-1,Cluster 13,0,30.09
aghkcbhb-1,Cluster 3,0,78.73
klffbonf-1,Cluster 2,0,107.35
aghkpgnn-1,Cluster 13,0,25.75
klfbloff-1,Cluster 2,0,54.80
agiandle-1,Cluster 13,0,42.78
klfcfenk-1,Cluster 6,0,41.76
klfamaol-1,Cluster 9,0,84.31
klepclfk-1,Cluster 6,0,56.92
klepcgal-1,Cluster 12,0,57.21
kleoapjl-1,Cluster 5,0,8.87
oeijkcgk-1,Cluster 5,0,39.21
kleofocj-1,Cluster 11,0,52.56
kleogahk-1,Cluster 6,0,54.83
kleoopij-1,Cluster 11,0,47.73
agfdjklj-1,Cluster 11,0,109.92
agfdihmn-1,Cluster 1,0,81.10
kldoojnb-1,Cluster 6,0,64.08
oeijcajh-1,Cluster 11,0,14.00
kldonofp-1,Cluster 5,0,15.43
agfbhgim-1,Cluster 13,0,95.85
kldnkinn-1,Cluster 9,0,26.44
agfdfhdc-1,Cluster 13,0,106.66
agfbgopc-1,Cluster 13,0,111.45
kleopfpf-1,Cluster 6,0,77.21
kldongpi-1,Cluster 6,0,95.31
klfegieh-1,Cluster 13,0,140.86
klfehlda-1,Cluster 9,0,78.78
klephgbg-1,Cluster 12,0,61.06
aghkhffk-1,Cluster 13,0,183.86
klehlbep-1,Cluster 5,0,13.93
klfegflc-1,Cluster 6,0,53.14
aghkjfgd-1,Cluster 13,0,38.23
klfehipa-1,Cluster 22,0,13.40
klfegknj-1,Cluster 22,0,32.42
klepmggf-1,Cluster 13,0,137.21
klfbiihb-1,Cluster 13,0,108.78
klepigbj-1,Cluster 12,0,60.65
kleoplfd-1,Cluster 6,0,57.80
agibelhd-1,Cluster 13,0,57.31
klepekba-1,Cluster 6,0,53.73
agibfodf-1,Cluster 13,0,79.76
klehpaki-1,Cluster 2,0,92.89
khhmmdoh-1,Cluster 2,0,38.81
khhmmhbi-1,Cluster 18,0,55.15
khhofgkk-1,Cluster 3,0,49.84
khhmnjpn-1,Cluster 3,0,68.97
khhpilnm-1,Cluster 1,0,21.98
klenokbb-1,Cluster 2,0,55.98
klehinlp-1,Cluster 2,0,48.26
khhmnmlk-1,Cluster 18,0,91.25
klenahjb-1,Cluster 18,0,49.19
klemomhl-1,Cluster 2,0,24.37
klehfnjb-1,Cluster 3,0,94.68
klehepnh-1,Cluster 6,0,60.48
klejdoip-1,Cluster 5,0,4.74
klemkidc-1,Cluster 2,0,48.33
klejbfdg-1,Cluster 13,0,103.56
klenkkco-1,Cluster 18,0,60.83
kleoakna-1,Cluster 2,0,41.50
aghklmpc-1,Cluster 13,0,106.59
khhhhhol-1,Cluster 20,0,73.62
khhhcinm-1,Cluster 18,0,115.71
khhnjihb-1,Cluster 2,0,23.59
khhhpbjo-1,Cluster 18,0,55.47
khhhogig-1,Cluster 1,0,40.34
khhhjeoh-1,Cluster 1,0,15.09
khhiablo-1,Cluster 2,0,54.95
khhhnloh-1,Cluster 2,0,37.98
khhhmgnl-1,Cluster 2,0,30.96
khholonm-1,Cluster 2,0,26.62
khhnlapj-1,Cluster 16,0,65.42
khhpaeob-1,Cluster 18,0,23.85
khhonpaj-1,Cluster 18,0,17.03
khhnhlbo-1,Cluster 18,0,25.46
khhnkiai-1,Cluster 18,0,65.76
khhofbbi-1,Cluster 18,0,63.94
khhpipmb-1,Cluster 18,0,34.01
khhpindf-1,Cluster 3,0,17.01
aginoekl-1,Cluster 3,0,42.01
klenabhl-1,Cluster 3,0,33.64
agiogcpn-1,Cluster 2,0,56.71
klehhlca-1,Cluster 16,0,104.51
klenaegg-1,Cluster 18,0,24.96
agiocgnh-1,Cluster 18,0,75.08
aghmffme-1,Cluster 3,0,30.95
aginohif-1,Cluster 16,0,26.19
klehejfe-1,Cluster 18,0,66.15
klfgdpgn-1,Cluster 3,0,40.46
klfgdmlc-1,Cluster 3,0,32.80
aghmbhom-1,Cluster 3,0,74.18
klehcgkh-1,Cluster 13,0,69.65
klfheihf-1,Cluster 8,0,75.45
aghmdbjo-1,Cluster 3,0,79.21
khiahaib-1,Cluster 18,0,93.65
khiaehno-1,Cluster 2,0,29.22
khhpnejn-1,Cluster 18,0,45.97
agioibjo-1,Cluster 18,0,28.46
khiagobj-1,Cluster 18,0,161.44
khiadoap-1,Cluster 18,0,66.51
oedeifgg-1,Cluster 1,0,47.32
khhopepn-1,Cluster 18,0,69.91
oeddpako-1,Cluster 5,0,39.30
khiaamkj-1,Cluster 2,0,13.67
khiajhkf-1,Cluster 18,0,72.67
khhpceke-1,Cluster 18,0,63.75
oeddojgh-1,Cluster 1,0,44.47
khhoiohm-1,Cluster 18,0,36.07
khhpgcdm-1,Cluster 18,0,62.40
khhpgmog-1,Cluster 16,0,77.53
agjllffo-1,Cluster 19,0,79.14
khjejloh-1,Cluster 18,0,50.61
khjnnbfd-1,Cluster 18,0,94.51
agjimkhh-1,Cluster 18,0,68.13
agjipika-1,Cluster 18,0,131.03
khjonobm-1,Cluster 18,0,140.01
khjkllie-1,Cluster 18,0,39.78
khjpbhch-1,Cluster 18,0,77.03
khjogkfd-1,Cluster 2,0,28.45
agjjnojf-1,Cluster 18,0,56.95
khjkkmgd-1,Cluster 18,0,121.93
cbenmbdc-1,Unassigned,0,138.13
khjlkkjm-1,Cluster 18,0,25.19
agjjojpm-1,Cluster 18,0,159.35
khjkmjpk-1,Cluster 18,0,149.13
khjooafe-1,Cluster 18,0,132.73
agjjoeda-1,Cluster 16,0,100.55
khjoofoe-1,Cluster 18,0,71.72
khjomlpk-1,Cluster 18,0,31.06
khjkokib-1,Cluster 2,0,119.19
khjknhhd-1,Cluster 2,0,33.63
agjjcdja-1,Cluster 20,0,88.63
khjkifji-1,Cluster 18,0,176.98
khjjppjj-1,Cluster 18,0,36.55
khjefdde-1,Cluster 16,0,88.27
khjjolej-1,Cluster 18,0,220.02
agjiioob-1,Cluster 16,0,144.53
khjjpgpd-1,Cluster 18,0,79.18
agjjddaj-1,Cluster 16,0,63.59
khjkcnmg-1,Cluster 1,0,65.85
khjjnadh-1,Cluster 10,0,131.59
agjijdlg-1,Cluster 18,0,66.51
agjjhoop-1,Cluster 18,0,119.86
agjjabja-1,Cluster 18,0,21.75
khjkifng-1,Cluster 16,0,75.78
khjllinh-1,Cluster 18,0,74.49
khjkigdm-1,Cluster 18,0,74.97
khkaoeon-1,Cluster 16,0,142.95
khjnneao-1,Cluster 18,0,175.09
khjpiadj-1,Cluster 2,0,37.76
khjmkcei-1,Cluster 2,0,29.43
agjjpegm-1,Cluster 18,0,128.57
agjkdbln-1,Cluster 16,0,69.49
khkahahc-1,Cluster 18,0,115.59
khjldfdm-1,Cluster 18,0,47.38
agjjnach-1,Cluster 18,0,80.22
khjpfdke-1,Cluster 16,0,156.38
khjlonji-1,Cluster 18,0,40.20
khjlmhoo-1,Cluster 18,0,48.45
khjljmam-1,Cluster 18,0,14.50
agjkcchf-1,Cluster 18,0,35.45
khjmfeek-1,Cluster 18,0,54.59
khjpbmnm-1,Cluster 16,0,94.91
agjkfcbe-1,Cluster 18,0,58.23
khjpckfp-1,Cluster 18,0,37.93
khjempph-1,Cluster 18,0,21.91
khjfdcjo-1,Cluster 16,0,136.60
khjnhkap-1,Cluster 18,0,40.47
khkblnjb-1,Cluster 18,0,101.66
khkbcpgh-1,Cluster 21,0,57.61
khkapldi-1,Cluster 18,0,101.42
khjoajlm-1,Cluster 18,0,99.99
khjnlhhl-1,Cluster 18,0,18.54
khjmomhh-1,Cluster 18,0,115.64
khjeljee-1,Cluster 2,0,8.24
khkamnme-1,Cluster 16,0,133.60
khjobail-1,Cluster 18,0,134.61
khjnkace-1,Cluster 18,0,91.14
khjniicl-1,Cluster 18,0,39.94
khkbdakm-1,Cluster 16,0,85.29
khjoaial-1,Cluster 16,0,160.94
khjipeec-1,Cluster 18,0,74.60
agjijmfe-1,Cluster 18,0,97.02
agjifgfn-1,Cluster 18,0,167.71
khjgdgpd-1,Cluster 18,0,18.87
khjincih-1,Cluster 18,0,131.44
khjinkac-1,Cluster 18,0,77.46
khjgkjja-1,Cluster 18,0,67.47
khjkcddi-1,Cluster 18,0,111.23
khjjecdj-1,Cluster 3,0,82.82
agjigbjm-1,Cluster 18,0,25.15
khjgkojm-1,Cluster 18,0,79.04
agjicgbl-1,Cluster 18,0,59.26
khjhgffe-1,Cluster 18,0,39.35
khjjiooi-1,Cluster 18,0,175.81
khjhigaf-1,Cluster 2,0,26.30
khjkdnpk-1,Cluster 18,0,102.53
khjjjide-1,Cluster 2,0,106.97
khjglbie-1,Cluster 18,0,40.19
khjgmkeg-1,Cluster 16,0,184.66
agkbghem-1,Cluster 18,0,57.13
agjidamh-1,Cluster 16,0,168.61
khjgfako-1,Cluster 16,0,257.45
agkagoen-1,Cluster 16,0,114.05
khkkljdo-1,Cluster 21,0,114.37
khjgalmn-1,Cluster 16,0,95.72
