#Selection names:,"Selection 1, Selection 2"
"#Areas (µm^2): 830697.1, 244538.9"
Selection,X,Y
Selection 1,7830.510559336244,3606.7020324029804
Selection 1,7858.108883969418,3667.0883903790486
Selection 1,7856.546508505227,3692.020843590807
Selection 1,7854.4159965086055,3742.224446793274
Selection 1,7848.647225563904,3795.4981724113863
Selection 1,7839.3166755889515,3863.827516138966
Selection 1,7840.5294285716445,3920.783203515345
Selection 1,7844.058430494256,3980.7106819844485
Selection 1,7855.869114947328,4192.756717012408
Selection 1,7845.19470355912,4315.364950992404
Selection 1,7834.563994981101,4375.609274835365
Selection 1,7804.911638269133,4474.508734288843
Selection 1,7785.245373684924,4543.952499676194
Selection 1,7761.121422461627,4596.319391982924
Selection 1,7733.785314689577,4648.030742136846
Selection 1,7682.521918340072,4709.1709735886425
Selection 1,7620.638739115094,4748.7657196181835
Selection 1,7510.7589486021,4773.479658779006
Selection 1,7402.386905040562,4795.352915277665
Selection 1,7343.191448642093,4814.046792335211
Selection 1,7302.252841199298,4846.8566770832
Selection 1,7239.320794529829,4896.000487138629
Selection 1,7166.992643670127,4944.52153214889
Selection 1,7090.873274026691,4978.981197981444
Selection 1,7013.333563052173,4989.04377002703
Selection 1,6955.165122693103,4998.931530831868
Selection 1,6909.178840673693,5010.206855860149
Selection 1,6853.8620086793335,5016.663946065297
Selection 1,6783.085307581274,5025.972644635156
Selection 1,6726.632202522046,5026.879477946539
Selection 1,6637.817166519249,5020.673678899967
Selection 1,6581.68090683388,5012.479401989879
Selection 1,6493.608818604264,5006.492116994243
Selection 1,6438.018844046233,5006.22990013312
Selection 1,6373.699233153324,5000.209838029843
Selection 1,6270.702635244802,4984.32386652682
Selection 1,6202.362365814676,4977.1675313586775
Selection 1,6131.607516121711,4968.492523536533
Selection 1,6075.733473297464,4956.507027842711
Selection 1,5982.0674253638945,4928.9633317222715
Selection 1,5933.306014897604,4913.569016833855
Selection 1,5891.504276953613,4897.672119628286
Selection 1,5833.488796430196,4876.301445446779
Selection 1,5743.712298603282,4839.984410181273
Selection 1,5670.3134288939955,4801.263720355475
Selection 1,5575.041302686049,4767.448670973183
Selection 1,5478.206801013914,4714.404385108552
Selection 1,5437.311896381306,4674.656679243356
Selection 1,5381.350447936685,4531.3660903423
Selection 1,5381.219339506123,4473.612826680006
Selection 1,5409.156360918247,4436.509140831132
Selection 1,5466.8549960678065,4399.427306387352
Selection 1,5528.301147190913,4411.609464727014
Selection 1,5582.732997278984,4442.671237067518
Selection 1,5602.1042678944295,4489.815643556885
Selection 1,5668.87123615782,4536.960050046253
Selection 1,5734.611188381811,4584.1263079407145
Selection 1,5791.304658897067,4629.282236566567
Selection 1,5866.331458285825,4639.006111833204
Selection 1,5934.26747672172,4667.948297879632
Selection 1,5992.020740384014,4699.578206752568
Selection 1,6031.954183192504,4726.936165929712
Selection 1,6080.835776386811,4761.920265484509
Selection 1,6113.776769565361,4802.443696230528
Selection 1,6159.642868856755,4847.490367830913
Selection 1,6231.228071943276,4865.506851330557
Selection 1,6319.387565793266,4879.196756621676
Selection 1,6398.708166282909,4893.771643819085
Selection 1,6457.925474086472,4893.454798445227
Selection 1,6546.620327361254,4887.36918212667
Selection 1,6614.742082740445,4883.195563753799
Selection 1,6667.414894718485,4871.417656408367
Selection 1,6731.188220484056,4858.907726992301
Selection 1,6813.568017686798,4826.075990839218
Selection 1,6892.462515777117,4785.596262903388
Selection 1,6934.515544879682,4760.01919324137
Selection 1,6977.224116135058,4723.221427063806
Selection 1,7029.1649060424625,4680.053976301467
Selection 1,7088.327585333291,4640.863481266157
Selection 1,7148.386172232957,4605.540684932409
Selection 1,7195.902052608913,4539.035933530142
Selection 1,7243.002756288094,4498.862125265621
Selection 1,7294.506518093629,4485.226848487237
Selection 1,7356.4115487236995,4488.144011067227
Selection 1,7418.5460191072525,4490.285448766396
Selection 1,7473.556931430304,4477.1309029000695
Selection 1,7512.965940516549,4424.031988522705
Selection 1,7565.321907120733,4386.327389033759
Selection 1,7576.083724129315,4341.892556775993
Selection 1,7585.6437138577485,4298.277152209236
Selection 1,7590.636759921629,4242.337555169709
Selection 1,7588.724761975942,4189.664743191669
Selection 1,7583.076173759256,4112.616688831757
Selection 1,7574.947451064449,4065.0243285379706
Selection 1,7566.294294647398,4023.2335162965264
Selection 1,7561.956790736324,3945.3223314354186
Selection 1,7558.679079972289,3868.197797157679
Selection 1,7551.905144393285,3822.2115151382704
Selection 1,7538.510233070929,3757.7170930046123
Selection 1,7537.78913670284,3663.526611348798
Selection 1,7545.633791131431,3616.983118499503
Selection 1,7553.926399364438,3556.8043488718235
Selection 1,7598.634374185873,3464.143465572559
Selection 1,7692.114685176147,3474.2060376181457
Selection 1,7731.643876990408,3510.249930319982
Selection 1,7785.616847571514,3557.3397082966158
Selection 1,7830.510559336244,3606.7020324029804
Selection 2,6041.000664901238,3529.7523093659893
Selection 2,6097.3663643400905,3559.7215114518144
Selection 2,6103.288095120447,3579.300370415649
Selection 2,6120.364968201068,3652.0983264848624
Selection 2,6118.015942153511,3740.050231986464
Selection 2,6104.6647336413425,3787.751849305718
Selection 2,6055.2914838324305,3827.149932689417
Selection 2,5991.026501452255,3838.053783831106
Selection 2,5909.345949212507,3830.0015410541264
Selection 2,5842.644535164397,3811.2530354838473
Selection 2,5764.3728021192455,3799.5297566511495
Selection 2,5703.29812488273,3807.614776535769
Selection 2,5643.337869305987,3837.059544899348
Selection 2,5592.292987007417,3887.164816778894
Selection 2,5549.212941865452,3948.097459882302
Selection 2,5528.825580913156,4015.3014562475623
Selection 2,5524.717516755565,4095.04815913653
Selection 2,5530.453510592626,4182.715996371915
Selection 2,5534.069918135612,4238.742999031817
Selection 2,5532.7479081274505,4298.1460437786745
Selection 2,5514.545687684511,4354.304154869138
Selection 2,5463.620988113957,4387.266999452782
Selection 2,5410.9918789461035,4379.629933372581
Selection 2,5365.704841889689,4354.566371730261
Selection 2,5343.809733985937,4303.01890711454
Selection 2,5335.4078687274605,4260.714586853398
Selection 2,5333.058842679902,4217.689170224166
Selection 2,5337.647637749551,4152.899754121745
Selection 2,5345.492292178141,4101.275809588196
Selection 2,5360.121807888283,4055.2130476509597
Selection 2,5386.201459867453,3999.1751192885113
Selection 2,5403.759063860133,3950.4574116324075
Selection 2,5427.140067310249,3903.65170192199
Selection 2,5447.516502559998,3862.155883649308
Selection 2,5501.751690002227,3796.0007547285386
Selection 2,5538.352793533951,3719.466208388326
Selection 2,5572.397282669725,3683.7173096552524
Selection 2,5642.74788136846,3649.159312499778
Selection 2,5675.164440824765,3608.7342130766824
Selection 2,5715.971939836999,3570.7127682138785
Selection 2,5805.803066176646,3530.615439867185
Selection 2,5880.928196888324,3503.454143335883
Selection 2,5990.840764508958,3495.390974856358
Selection 2,6041.000664901238,3529.7523093659893
